Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Floor,Pain Management Achievement Threshold,Pain Management Benchmark,Pain Management Baseline Rate,Pain Management Performance Rate,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"260023","MERCY HOSPITAL JEFFERSON","1400 HIGHWAY 61 SOUTH","Crystal City","MO","63019","JEFFERSON","58.14","78.19","86.61","74.12","75.52","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","77.50","78.33","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.76","62.86","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","66.41","69.51","0 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","59.66","58.86","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.40","59.64","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.69","87.42","3 out of 10","1 out of 9","3 out of 10","35.99","70.02","84.60","62.43","65.77","0 out of 10","1 out of 9","1 out of 10","7","14"
"360141","NORTHSIDE MEDICAL CENTER","500 GYPSY LANE","Youngstown","OH","44501","MAHONING","58.14","78.19","86.61","77.47","76.12","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.08","78.72","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","59.84","52.55","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","64.83","63.17","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","58.79","57.50","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","56.84","56.99","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.06","86.04","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","61.11","57.52","0 out of 10","0 out of 9","0 out of 10","1","10"
"240056","RIDGEVIEW MEDICAL CENTER","500 SOUTH MAPLE STREET","Waconia","MN","55387","CARVER","58.14","78.19","86.61","83.86","85.86","9 out of 10","7 out of 9","9 out of 10","63.58","80.51","88.80","84.09","85.94","6 out of 10","3 out of 9","6 out of 10","37.29","65.05","80.01","74.65","76.01","7 out of 10","2 out of 9","7 out of 10","49.53","70.28","78.33","72.74","74.86","6 out of 10","3 out of 9","6 out of 10","41.42","62.88","73.36","65.62","70.24","7 out of 10","5 out of 9","7 out of 10","44.32","65.30","79.39","73.42","77.59","8 out of 10","6 out of 9","8 out of 10","64.09","85.91","91.23","91.27","89.50","7 out of 10","0 out of 9","7 out of 10","35.99","70.02","84.60","82.64","83.35","9 out of 10","3 out of 9","9 out of 10","59","20"
"190250","LOUISIANA HEART HOSPITAL","64030 HIGHWAY 434","Lacombe","LA","70445","ST. TAMMANY","58.14","78.19","86.61","84.14","83.85","7 out of 10","0 out of 9","7 out of 10","63.58","80.51","88.80","82.44","82.32","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","73.09","69.73","3 out of 10","0 out of 9","3 out of 10","49.53","70.28","78.33","75.45","76.89","8 out of 10","4 out of 9","8 out of 10","41.42","62.88","73.36","68.99","63.77","1 out of 10","0 out of 9","1 out of 10","44.32","65.30","79.39","73.24","70.20","4 out of 10","0 out of 9","4 out of 10","64.09","85.91","91.23","85.84","87.32","3 out of 10","2 out of 9","3 out of 10","35.99","70.02","84.60","82.06","79.47","6 out of 10","0 out of 9","6 out of 10","34","20"
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","Longview","TX","75601","GREGG","58.14","78.19","86.61","78.94","79.38","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","81.06","80.81","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","65.42","62.81","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.89","70.64","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","66.60","66.93","4 out of 10","0 out of 9","4 out of 10","44.32","65.30","79.39","70.75","68.11","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","86.60","87.83","4 out of 10","2 out of 9","4 out of 10","35.99","70.02","84.60","71.24","73.13","2 out of 10","1 out of 9","2 out of 10","16","18"
"330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","Kenmore","NY","14217","ERIE","58.14","78.19","86.61","79.39","77.26","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.46","79.12","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.35","60.72","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","72.32","69.83","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.83","58.71","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","59.16","56.22","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.56","88.76","5 out of 10","3 out of 9","5 out of 10","35.99","70.02","84.60","69.93","71.13","1 out of 10","0 out of 9","1 out of 10","6","11"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","Lawrence","MA","01842","ESSEX","58.14","78.19","86.61","80.14","78.29","1 out of 10","0 out of 9","1 out of 10","63.58","80.51","88.80","79.11","76.45","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","65.60","58.55","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.79","65.99","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","62.21","60.90","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","61.49","56.88","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.81","87.28","3 out of 10","2 out of 9","3 out of 10","35.99","70.02","84.60","64.35","59.65","0 out of 10","0 out of 9","0 out of 10","4","11"
"390316","SURGICAL INSTITUTE OF READING","2752 CENTURY BOULEVARD","Wyomissing","PA","19610","BERKS","58.14","78.19","86.61","95.16","94.13","10 out of 10","0 out of 9","10 out of 10","63.58","80.51","88.80","90.22","89.61","10 out of 10","0 out of 9","10 out of 10","37.29","65.05","80.01","93.64","93.93","10 out of 10","9 out of 9","10 out of 10","49.53","70.28","78.33","85.83","85.79","10 out of 10","0 out of 9","10 out of 10","41.42","62.88","73.36","78.53","77.22","10 out of 10","0 out of 9","10 out of 10","44.32","65.30","79.39","86.73","83.65","10 out of 10","0 out of 9","10 out of 10","64.09","85.91","91.23","94.24","93.98","10 out of 10","0 out of 9","10 out of 10","35.99","70.02","84.60","93.30","92.61","10 out of 10","0 out of 9","10 out of 10","80","20"
"100040","ST VINCENT'S MEDICAL CENTER RIVERSIDE","1 SHIRCLIFF WAY","Jacksonville","FL","32204","DUVAL","58.14","78.19","86.61","76.22","77.56","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","79.55","78.05","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","57.28","57.13","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","64.68","68.81","0 out of 10","3 out of 9","3 out of 10","41.42","62.88","73.36","59.48","62.94","1 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","59.06","63.33","0 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","84.63","87.74","4 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","64.78","69.87","0 out of 10","2 out of 9","2 out of 10","14","14"
"450856","SOUTH TEXAS SPINE AND SURGICAL HOSPITAL","18600 NORTH HARDY OAK BLVD","San Antonio","TX","78258","BEXAR","58.14","78.19","86.61","87.64","87.18","10 out of 10","0 out of 9","10 out of 10","63.58","80.51","88.80","90.54","87.27","8 out of 10","0 out of 9","8 out of 10","37.29","65.05","80.01","83.96","82.14","10 out of 10","0 out of 9","10 out of 10","49.53","70.28","78.33","80.39","77.63","9 out of 10","0 out of 9","9 out of 10","41.42","62.88","73.36","76.51","71.74","8 out of 10","0 out of 9","8 out of 10","44.32","65.30","79.39","84.01","82.32","10 out of 10","0 out of 9","10 out of 10","64.09","85.91","91.23","89.60","89.84","7 out of 10","1 out of 9","7 out of 10","35.99","70.02","84.60","86.62","87.93","10 out of 10","9 out of 9","10 out of 10","72","20"
"180012","HARDIN MEMORIAL HOSPITAL","913 NORTH DIXIE AVENUE","Elizabethtown","KY","42701","HARDIN","58.14","78.19","86.61","82.30","79.42","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","83.03","81.98","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","64.15","57.29","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","73.32","69.35","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","66.92","62.16","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","62.34","61.93","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","83.43","86.28","1 out of 10","3 out of 9","3 out of 10","35.99","70.02","84.60","65.67","65.93","0 out of 10","0 out of 9","0 out of 10","7","14"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","Palmer","AK","99645","MATANUSKA-SUSITNA","58.14","78.19","86.61","77.48","75.33","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.23","74.52","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","61.38","58.40","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.24","66.94","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","63.93","61.46","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.57","68.26","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","87.83","86.35","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","71.10","69.19","0 out of 10","0 out of 9","0 out of 10","3","12"
"200050","MAINE COAST MEMORIAL HOSPITAL","50 UNION STREET","Ellsworth","ME","04605","HANCOCK","58.14","78.19","86.61","82.83","81.49","4 out of 10","0 out of 9","4 out of 10","63.58","80.51","88.80","85.19","83.03","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","69.39","72.82","5 out of 10","3 out of 9","5 out of 10","49.53","70.28","78.33","76.32","75.19","6 out of 10","0 out of 9","6 out of 10","41.42","62.88","73.36","70.27","70.63","7 out of 10","1 out of 9","7 out of 10","44.32","65.30","79.39","70.25","69.89","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","91.00","91.23","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","75.62","72.55","2 out of 10","0 out of 9","2 out of 10","40","20"
"260175","GOLDEN VALLEY MEMORIAL HOSPITAL","1600 N 2ND ST","Clinton","MO","64735","HENRY","58.14","78.19","86.61","81.70","77.96","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.08","76.36","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","71.49","67.53","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","72.52","64.21","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","70.47","67.07","4 out of 10","0 out of 9","4 out of 10","44.32","65.30","79.39","72.26","68.15","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","88.08","86.41","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","73.66","69.85","0 out of 10","0 out of 9","0 out of 10","9","14"
"140040","GALESBURG COTTAGE HOSPITAL","695 N KELLOGG ST","Galesburg","IL","61401","KNOX","58.14","78.19","86.61","80.57","75.00","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","84.56","81.52","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","64.24","57.40","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","75.11","71.72","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","65.74","61.61","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.85","64.05","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.97","90.00","7 out of 10","4 out of 9","7 out of 10","35.99","70.02","84.60","69.87","67.50","0 out of 10","0 out of 9","0 out of 10","11","14"
"390198","MILLCREEK COMMUNITY HOSPITAL","5515 PEACH STREET","Erie","PA","16509","ERIE","58.14","78.19","86.61","74.57","75.09","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","77.74","81.77","2 out of 10","3 out of 9","3 out of 10","37.29","65.05","80.01","69.37","69.26","3 out of 10","0 out of 9","3 out of 10","49.53","70.28","78.33","66.15","66.31","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","55.28","59.08","0 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","61.36","61.78","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.58","84.23","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","68.92","66.08","0 out of 10","0 out of 9","0 out of 10","9","16"
"050373","LAC+USC MEDICAL CENTER","1200 N STATE ST, ROOM C2K100","Los Angeles","CA","90033","LOS ANGELES","58.14","78.19","86.61","69.21","67.29","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","77.51","75.77","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","59.38","57.48","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","66.28","63.26","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","57.12","56.50","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","61.02","61.22","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","80.34","79.95","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","70.89","67.36","0 out of 10","0 out of 9","0 out of 10","0","9"
"050488","EDEN MEDICAL CENTER","20103 LAKE CHABOT ROAD","Castro Valley","CA","94546","ALAMEDA","58.14","78.19","86.61","72.88","76.75","0 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","78.39","77.56","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.43","64.66","0 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","66.93","71.64","2 out of 10","4 out of 9","4 out of 10","41.42","62.88","73.36","52.89","63.13","1 out of 10","5 out of 9","5 out of 10","44.32","65.30","79.39","68.52","68.58","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","80.49","84.49","0 out of 10","3 out of 9","3 out of 10","35.99","70.02","84.60","74.27","77.01","5 out of 10","2 out of 9","5 out of 10","23","16"
"100045","FLORIDA HOSPITAL DELAND","701 W PLYMOUTH AVE","Deland","FL","32720","VOLUSIA","58.14","78.19","86.61","77.89","79.97","2 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","74.40","72.17","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.86","68.16","2 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","67.37","73.04","4 out of 10","5 out of 9","5 out of 10","41.42","62.88","73.36","62.09","71.22","8 out of 10","8 out of 9","8 out of 10","44.32","65.30","79.39","59.12","66.39","1 out of 10","3 out of 9","3 out of 10","64.09","85.91","91.23","86.69","87.49","3 out of 10","1 out of 9","3 out of 10","35.99","70.02","84.60","63.51","67.40","0 out of 10","1 out of 9","1 out of 10","24","10"
"450133","MIDLAND MEMORIAL HOSPITAL","400 ROSALIND REDFERN GROVER PARKWAY","Midland","TX","79701","MIDLAND","58.14","78.19","86.61","71.81","75.25","0 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","76.02","79.10","0 out of 10","2 out of 9","2 out of 10","37.29","65.05","80.01","58.60","62.39","0 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","66.60","68.84","0 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","52.90","58.15","0 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","62.74","66.63","1 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","82.69","84.51","0 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","63.09","68.64","0 out of 10","2 out of 9","2 out of 10","14","15"
"050684","MENIFEE VALLEY MEDICAL CENTER","28400 MCCALL B0ULEVARD","Menifee","CA","92585","RIVERSIDE","58.14","78.19","86.61","72.06","69.95","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","72.48","71.42","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","59.15","54.44","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","61.41","67.18","0 out of 10","3 out of 9","3 out of 10","41.42","62.88","73.36","57.76","57.04","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","58.93","56.77","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","79.66","81.05","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","57.60","55.50","0 out of 10","0 out of 9","0 out of 10","4","9"
"100051","SOUTH LAKE HOSPITAL","1900 DON WICKHAM DR","Clermont","FL","34711","LAKE","58.14","78.19","86.61","73.26","73.95","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","72.13","75.05","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","60.62","62.15","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","65.24","67.68","0 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","58.04","59.18","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","64.70","63.39","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.94","84.29","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","68.10","67.14","0 out of 10","0 out of 9","0 out of 10","3","13"
"150044","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","New Albany","IN","47150","FLOYD","58.14","78.19","86.61","83.50","79.49","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","84.00","78.99","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","76.75","66.74","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","77.89","69.44","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","65.20","62.83","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.29","66.24","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","84.33","90.85","9 out of 10","9 out of 9","9 out of 10","35.99","70.02","84.60","78.47","73.03","2 out of 10","0 out of 9","2 out of 10","16","18"
"060114","PARKER ADVENTIST HOSPITAL","9395 CROWN CREST BLVD","Parker","CO","80138","DOUGLAS","58.14","78.19","86.61","77.29","76.31","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.78","80.07","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.14","62.43","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.65","66.29","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","63.77","59.67","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","66.98","65.59","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","89.39","90.09","8 out of 10","3 out of 9","8 out of 10","35.99","70.02","84.60","76.29","76.92","5 out of 10","0 out of 9","5 out of 10","14","16"
"510077","WILLIAMSON MEMORIAL HOSPITAL","859 ALDERSON STREET","Williamson","WV","25661","MINGO","58.14","78.19","86.61","74.73","80.83","3 out of 10","5 out of 9","5 out of 10","63.58","80.51","88.80","85.62","89.89","10 out of 10","9 out of 9","10 out of 10","37.29","65.05","80.01","55.62","73.89","6 out of 10","7 out of 9","7 out of 10","49.53","70.28","78.33","67.65","64.90","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","59.15","59.45","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","59.05","72.63","5 out of 10","6 out of 9","6 out of 10","64.09","85.91","91.23","81.55","88.29","5 out of 10","6 out of 9","6 out of 10","35.99","70.02","84.60","62.26","74.53","3 out of 10","5 out of 9","5 out of 10","39","14"
"100204","NORTH FLORIDA REGIONAL MEDICAL CENTER","6500 NEWBERRY RD","Gainesville","FL","32605","ALACHUA","58.14","78.19","86.61","73.73","76.53","0 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","77.67","79.27","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","58.54","60.31","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","66.68","68.79","0 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","55.85","63.24","1 out of 10","4 out of 9","4 out of 10","44.32","65.30","79.39","59.93","59.92","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","84.18","88.25","4 out of 10","5 out of 9","5 out of 10","35.99","70.02","84.60","66.72","69.52","0 out of 10","1 out of 9","1 out of 10","14","14"
"310047","SHORE MEDICAL CENTER","100 MEDICAL CENTER WAY","Somers Point","NJ","08244","ATLANTIC","58.14","78.19","86.61","80.26","81.20","4 out of 10","1 out of 9","4 out of 10","63.58","80.51","88.80","79.89","77.97","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.15","66.96","2 out of 10","1 out of 9","2 out of 10","49.53","70.28","78.33","68.91","73.59","4 out of 10","4 out of 9","4 out of 10","41.42","62.88","73.36","64.07","64.03","1 out of 10","0 out of 9","1 out of 10","44.32","65.30","79.39","64.90","65.33","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","87.32","84.05","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","68.62","71.01","1 out of 10","1 out of 9","1 out of 10","13","16"
"330135","BON SECOURS COMMUNITY HOSPITAL","160 EAST MAIN STREET","Port Jervis","NY","12771","ORANGE","58.14","78.19","86.61","78.13","83.20","6 out of 10","5 out of 9","6 out of 10","63.58","80.51","88.80","75.52","74.53","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","66.38","73.96","6 out of 10","5 out of 9","6 out of 10","49.53","70.28","78.33","74.16","71.75","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","62.53","61.06","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","64.43","71.65","5 out of 10","4 out of 9","5 out of 10","64.09","85.91","91.23","82.85","86.24","1 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","63.26","71.03","1 out of 10","3 out of 9","3 out of 10","26","12"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","Gadsden","AL","35901","ETOWAH","58.14","78.19","86.61","71.19","73.70","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","74.76","77.56","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","52.21","60.69","0 out of 10","3 out of 9","3 out of 10","49.53","70.28","78.33","61.75","66.21","0 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","54.57","55.99","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.08","68.08","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","74.72","83.49","0 out of 10","5 out of 9","5 out of 10","35.99","70.02","84.60","60.38","66.47","0 out of 10","2 out of 9","2 out of 10","16","13"
"490119","SENTARA PRINCESS ANNE HOSPITAL","2025 GLENN MITCHELL DRIVE","Virginia Beach","VA","23456","VIRGINIA BEACH CITY","58.14","78.19","86.61","81.60","82.20","5 out of 10","1 out of 9","5 out of 10","63.58","80.51","88.80","82.82","82.61","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","68.69","65.16","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","74.02","75.38","6 out of 10","3 out of 9","6 out of 10","41.42","62.88","73.36","64.91","61.34","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","68.96","68.62","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","90.18","91.67","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","78.97","82.08","8 out of 10","5 out of 9","8 out of 10","36","18"
"230031","LAKE HURON MEDICAL CENTER","2601 ELECTRIC AVENUE","Port Huron","MI","48060","SAINT CLAIR","58.14","78.19","86.61","73.97","80.50","3 out of 10","5 out of 9","5 out of 10","63.58","80.51","88.80","74.44","77.26","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","60.57","71.21","4 out of 10","5 out of 9","5 out of 10","49.53","70.28","78.33","69.27","74.25","5 out of 10","5 out of 9","5 out of 10","41.42","62.88","73.36","53.97","60.83","0 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","64.98","67.76","2 out of 10","1 out of 9","2 out of 10","64.09","85.91","91.23","88.13","87.85","4 out of 10","0 out of 9","4 out of 10","35.99","70.02","84.60","66.10","71.68","2 out of 10","3 out of 9","3 out of 10","28","16"
"110032","STEPHENS COUNTY HOSPITAL","163 HOSPITAL DRIVE","Toccoa","GA","30577","STEPHENS","58.14","78.19","86.61","79.99","76.41","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","85.18","81.26","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","72.86","63.62","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","76.41","68.04","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","70.10","59.12","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","71.79","68.73","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","88.42","83.71","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","72.55","65.46","0 out of 10","0 out of 9","0 out of 10","4","16"
