ASC_Name,Provider_ID,NPI,City,State,Zip_Code,Year,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_5_Measure_Rate,ASC_5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC6_SSChecklist,ASC_6_Footnote,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Skin,ASC_7_Genitourinary,ASC_7_Musculoskeletal,ASC_7_Multi_System,ASC_7_Nervous_System,ASC_7_Respiratory,ASC_7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC_8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC_9_Footnote,ASC_10_rate,ASC_10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date,ASC_11_rate,ASC_11_Footnote,ASC_11_Encounter_Start_Date,ASC_11_Encounter_End_Date
Metro Ambulatory Surgical Center,21C0001240,1578600979,Temple Hills,MD,20748,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Kaiser Foundation Health Plan of The Mid-Atlantic States, Inc.",21C0001043,1578638425,Kensington,MD,20895,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Cosmetic Surgery Facility, LLC",21C0001462,1578763199,Lutherville Timonium,MD,21093,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,23.81,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Summit Ambulatory Surgical Center,21C0001190,1588610190,Owings Mills,MD,21117,2015,0.000,,0.000,,0.000,,1.518,,1000.0,,01/01/2015,12/31/2015,Yes,,3076,0,0,1,3075,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Certified Ambulatory Surgery Center,21C0001225,1588665665,Rockville,MD,20850,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,621,0,0,616,0,5,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Amber Meadows Surgery Center,21C0001527,1588785208,Frederick,MD,21702,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,176,0,0,0,176,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Asc Development Company, LLC",21C0001516,1588962831,Waldorf,MD,20602,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2343,0,0,0,0,0,0,2343,0,,01/01/2015,12/31/2015,57.14,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"York Green Surgery Center, LLC",21C0001415,1598756306,Lutherville,MD,21093,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Ambulatory Endoscopy Center of Maryland,21C0001099,1609871680,Laurel,MD,20707,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,6351,6351,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,84.21,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Asc Development Company, LLC",21C0001282,1609996149,Rockville,MD,20852,2015,0.000,,0.000,,0.000,,1.227,,,N/A (5),01/01/2015,12/31/2015,Yes,,2043,0,0,0,0,0,0,2043,0,,01/01/2015,12/31/2015,75.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
John W Skouge MD PA,21C0001237,1619051679,Lutherville,MD,21093,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
National Spine & Pain,21C0001550,1619221801,Rosedale,MD,21237,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1224,0,0,0,0,0,0,1224,0,,01/01/2015,12/31/2015,83.33,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
University Center for Ambulatory Surgery,21C0001330,1629016076,Riverdale,MD,20772,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2755,2108,590,0,57,0,0,0,0,,01/01/2015,12/31/2015,50.00,,2015/2016,100.0,,90.48,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Annapolis Ent Surgical Center,21C0001360,1629094917,Annapolis,MD,21401,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
White Marsh Surgery Center,21C0001451,1639290026,Nottingham,MD,21236,2015,0.000,,0.000,,0.000,,5.254,,1000.0,,01/01/2015,12/31/2015,Yes,,4371,3474,10,26,119,709,0,22,11,,01/01/2015,12/31/2015,98.70,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Hickory Ridge Surgery Center,21C0001388,1649393695,Columbia,MD,21044,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Summit Ambulatory Surgical Center,21C0001248,1649467630,Baltimore,MD,21239,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,611,0,0,0,611,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Shore Health Systems,21C0001503,1649501073,Easton,MD,21601,2015,0.000,,0.000,,0.000,,0.000,,812.50,,01/01/2015,12/31/2015,Yes,,1872,36,749,22,541,18,0,461,45,,01/01/2015,12/31/2015,95.12,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Foot Surgi-Center of Owings Mills, LLC",21C0001397,1659377166,Owings Mills,MD,21117,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgical Specialty Center of Mid- Atlantic,21C0001562,1659772648,Bethesda,MD,20817,2015,0.000,,0.000,,0.000,,0.000,,938.78,,01/01/2015,12/31/2015,Yes,,1134,0,0,0,68,1066,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Summit Ambulatory Surgical Center, LLC",21C0001467,1659793040,White Plains,MD,20695,2015,0.000,,0.000,,0.000,,1.152,,966.22,,01/01/2015,12/31/2015,Yes,,1697,0,0,0,1697,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Advanced Surgery Center, LLC",21C0001400,1669426706,Rockville,MD,20850,2015,4.435,,0.000,,0.000,,1.114,,,N/A (5),01/01/2015,12/31/2015,Yes,,8873,8873,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,93.02,,2015/2016,22.09,,70.17,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Ambulatory Foot and Ankle Center, Inc.",21C0001260,1679566228,Silver Spring,MD,20906,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Charles County Surgical Center,21C0001472,1679750285,White Plains,MD,20695,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Thomas Jefferson Surgery Center,21C0001465,1679757959,Frederick,MD,21702,2015,0.000,,0.000,,0.000,,0.000,,997.14,,01/01/2015,12/31/2015,Yes,,735,0,0,0,735,0,0,0,0,,01/01/2015,12/31/2015,92.68,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Columbia Urological Surgical Center,21C0001142,1689749350,Columbia,MD,21044,2015,4.036,,0.000,,0.000,,0.000,,411.76,,01/01/2015,12/31/2015,Yes,,3123,0,0,0,3123,0,0,0,0,,01/01/2015,12/31/2015,93.33,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Deer Point Surgical Center,21C0001511,1689986879,Salisbury,MD,21804,2015,0.000,,0.000,,0.000,,0.000,,978.61,,01/01/2015,12/31/2015,Yes,,2225,0,0,0,0,766,0,1459,0,,01/01/2015,12/31/2015,85.51,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Surgicenter of Western Maryland, LLC",21C0001521,1699054098,Cumberland,MD,21502,2015,0.530,,1.060,,0.530,,1.590,,978.72,,01/01/2015,12/31/2015,Yes,,4007,3640,0,1,0,92,12,242,20,,01/01/2015,12/31/2015,83.61,,2015/2016,100.0,,89.80,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Towson Surgical Center, LLC",21C0001186,1699711382,Towson,MD,21204,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,1232,729,8,90,18,44,0,0,343,,01/01/2015,12/31/2015,90.48,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Arturo E. Betancourt, MD, PA",21C0001009,1700881539,Glen Burnie,MD,21061,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Msc Ambulatory Surgical Center,21C0001422,1710032842,Frederick,MD,21702,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgery Center of Potomac,21C0001404,1710079470,Rockville,MD,20852,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Newbridge Surgery Center at Waldorf,21C0001540,1710112669,Waldorf,MD,20602,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,4074,0,0,0,0,76,0,3998,0,,01/01/2015,12/31/2015,59.09,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Hendi Ambulatory Surgery Center Center P.C.,21C0001484,1710151063,Chevy Chase,MD,20815,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1635,0,0,1635,0,0,0,0,0,,01/01/2015,12/31/2015,85.71,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Maryland Endoscopy Center,21C0001140,1710952130,Towson,MD,21204,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,6140,6140,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,56.67,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Andochick Surgical Center,21C0001340,1710952841,Frederick,MD,21702,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,3340,0,805,45,22,1288,1137,43,0,,01/01/2015,12/31/2015,93.24,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgery Center of Rockville,21C0001410,1710959556,Rockville,MD,20850,2015,0.000,,0.000,,0.000,,4.515,,1000.0,,01/01/2015,12/31/2015,Yes,,786,56,0,0,0,0,0,604,126,,01/01/2015,12/31/2015,90.91,,2015/2016,,N/A (1),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Maryland Surgery Center for Women,21C0001347,1720048242,Rockville,MD,20852,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,0,0,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Belcrest Surgery Center,21C0001163,1720128929,Hyattsville,MD,20782,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Baltimore Eye Surgical Center,21C0001403,1720139512,Baltimore,MD,21162,2015,0.664,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,2336,0,2336,0,0,0,0,0,0,,01/01/2015,12/31/2015,95.45,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"St. Agnes Healthcare, Inc.",21C0001300,1720227176,Catonsville,MD,21228,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Robin Hood Surgery Center, LLC",21C0001083,1730147802,Hagerstown,MD,21742,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Bel Air Endoscopy Center,21C0001126,1730152869,Bel Air,MD,21014,2015,0.000,,0.000,,0.000,,0.561,,,N/A (1),01/01/2015,12/31/2015,Yes,,8245,8245,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,96.77,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Medstar Medical Group - Southern Maryland LLC,21C0001565,1730571118,Hollywood,MD,20636,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
True Care Ambulatory Surgery Center LLC,21C0001390,1740225903,Pasadena,MD,21122,2015,13.699,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Western Maryland Surgicenter,21C0001198,1740283837,Cumberland,MD,21502,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Anne Arundel Digestive Center,21C0001208,1740387257,Pasadena,MD,21122,2015,0.000,,0.000,,0.000,,1.833,,,N/A (1),01/01/2015,12/31/2015,Yes,,3526,3526,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,83.33,,2015/2016,97.78,,94.44,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
The Center for Urologic Specialties,21C0001509,1740508605,Baltimore,MD,21209,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,600,0,0,0,600,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Asc Development Company,21C0001544,1740529064,Silver Spring,MD,20910,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,921,0,0,0,0,0,0,921,0,,01/01/2015,12/31/2015,90.91,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Twin Arch Surgical Center Inc.,21C0001285,1750322467,Frederick,MD,21702,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Rockledge Surgery Center Inc.,21C0001315,1750414983,Bethesda,MD,20817,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,425,0,0,425,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Tower Oaks Surgery Center,21C0001459,1750434759,Rockville,MD,20852,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,3,0,0,3,0,0,0,0,0,,01/01/2015,12/31/2015,14.29,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Silver Spring Podiatry Center,21C0001143,1750438784,Wheaton,MD,20902,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Bay Surbery Centers, LLC - Glen Burnie",21C0001505,1750612446,Glen Burnie,MD,21060,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,2273,0,0,0,0,2273,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Calvert Ambulatory Foot Surgery Center,21C0001325,1760491633,Prince Frederick,MD,20678,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Gaithersburg Foot and Ankle Surgery CTR LLC,21C0001427,1760507834,Gaithersburg,MD,20878,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Capital Endoscopy and Surgery Center,21C0001391,1770513855,Hyattsville,MD,20783,2015,1.140,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,5288,3815,0,23,0,1450,0,0,0,,01/01/2015,12/31/2015,47.83,,2015/2016,12.55,,94.33,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Southern Maryland Endoscopy Center, LLC",21C0001345,1770551517,Clinton,MD,20735,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,3101,3101,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,32.00,,2015/2016,18.18,,16.67,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Bethesda Surgery Center, LLC",21C0001130,1770572307,Bethesda,MD,20817,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,821,0,0,821,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Silver Spring MD Endoscopy ASC, LLC",21C0001226,1770645905,Silver Spring,MD,20901,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,6716,6716,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,84.62,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Skin Cancer Treatment Center,21C0001469,1770753998,Chevy Chase,MD,20815,2015,4.425,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,175,0,0,175,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Piney Orchard Surgery Center,21C0001185,1780618801,Odenton,MD,21113,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,196,0,0,52,0,0,0,0,144,,01/01/2015,12/31/2015,100.0,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Polun American Surgery Center,21C0001127,1780687442,Potomac,MD,20854,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Cascades Endoscopy Center,21C0001475,1780699546,Columbia,MD,21045,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,3302,3302,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,84.62,,2015/2016,0.00,,32.50,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Bay Surgery Centers, LLC - Waldorf",21C0001529,1790062636,Waldorf,MD,20601,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1622,0,0,0,0,1622,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Annapolis Surgery Center,21C0001429,1790791598,Annapolis,MD,21401,2015,0.000,,0.000,,0.000,,0.000,,935.48,,01/01/2015,12/31/2015,Yes,,4655,310,73,0,0,716,0,3556,0,,01/01/2015,12/31/2015,85.45,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Mid- Atlantic Neurosurgical Associates Pain Center,21C0001392,1790871184,Baltimore,MD,21215,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Cecil Surgery Center,21C0001537,1801028998,Elkton,MD,21921,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Kenilworth Surgery Center,21C0001367,1801952346,Towson,MD,21204,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1500,0,0,1500,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Peninsula Eye Center, PA",21C0001060,1811059306,Salisbury,MD,21804,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1305,0,1305,0,0,0,0,0,0,,01/01/2015,12/31/2015,68.75,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,100.0,,01/01/2015,12/31/2015
Chesapeake Pain Center,21C0001074,1811142771,Bel Air,MD,21015,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Green Spring Station Endoscopy, LLC",21C0001184,1811962210,Lutherville,MD,21093,2015,0.000,,0.000,,0.000,,0.565,,,N/A (1),01/01/2015,12/31/2015,Yes,,6605,6605,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,95.12,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Parkway Surgery Center,21C0001438,1821036534,Hagerstown,MD,21740,2015,0.000,,0.457,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,4797,0,0,0,0,0,0,4797,0,,01/01/2015,12/31/2015,70.73,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
