Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PSI-90 Achievement Threshold,PSI-90 Benchmark,PSI-90 Baseline Rate,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score
"330401","ST CATHERINE OF SIENA HOSPITAL","50 ROUTE 25A","Smithtown","NY","11787","SUFFOLK","0.777936","0.547889","0.791507","0.639168","6 out of 10","6 out of 9","6 out of 10","0.457","0.000","0.320","0.261","4 out of 10","1 out of 9","4 out of 10","0.845","0.000","1.597","0.986","0 out of 10","3 out of 9","3 out of 10","10 out of 10","0.751","0.000","0.413","0.000","10 out of 10","9 out of 9","10 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.911","0.799","1 out of 10","5 out of 9","5 out of 10","0.750","0.000","1.330","0.989","0 out of 10","2 out of 9","2 out of 10"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","Concord","NC","28025","CABARRUS","0.777936","0.547889","0.685003","0.410664","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.275","0.537","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","2.700","0.766","1 out of 10","7 out of 9","7 out of 10","2 out of 10","0.751","0.000","0.820","1.919","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","1.182","0.295","6 out of 10","7 out of 9","7 out of 10","0.799","0.000","1.557","0.726","1 out of 10","5 out of 9","5 out of 10","0.750","0.000","0.943","0.871","0 out of 10","0 out of 9","0 out of 10"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","Asheville","NC","28803","BUNCOMBE","0.777936","0.547889","0.569623","0.549072","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.353","0.504","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.765","0.499","4 out of 10","3 out of 9","4 out of 10","3 out of 10","0.751","0.000","0.607","0.591","2 out of 10","0 out of 9","2 out of 10","0.698","0.000","0.463","0.213","7 out of 10","5 out of 9","7 out of 10","0.799","0.000","0.852","1.242","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.815","1.049","0 out of 10","0 out of 9","0 out of 10"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","Mount Airy","NC","27030","SURRY","0.777936","0.547889","0.631581","0.642760","6 out of 10","0 out of 9","6 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","0.751","0.000","1.617","2.471","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.530","1.136","0 out of 10","0 out of 9","0 out of 10"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","High Point","NC","27261","GUILFORD","0.777936","0.547889","0.731316","0.499555","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.751","0.584","0 out of 10","2 out of 9","2 out of 10","0.845","0.000","0.805","0.440","5 out of 10","4 out of 9","5 out of 10","5 out of 10","0.751","0.000","0.000","0.254","6 out of 10","0 out of 9","6 out of 10","0.698","0.000","0.000","0.604","2 out of 10","0 out of 9","2 out of 10","0.799","0.000","0.602","0.356","5 out of 10","4 out of 9","5 out of 10","0.750","0.000","1.002","1.127","0 out of 10","0 out of 9","0 out of 10"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","Laurinburg","NC","28352","SCOTLAND","0.777936","0.547889","0.727639","0.456862","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","0.751","0.000","0.701","0.813","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.718","0.000","10 out of 10","9 out of 9","10 out of 10","0.750","0.000","0.106","0.314","6 out of 10","0 out of 9","6 out of 10"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","Goldsboro","NC","27534","WAYNE","0.777936","0.547889","0.700551","0.564711","9 out of 10","8 out of 9","9 out of 10","0.457","0.000","0.391","0.370","2 out of 10","0 out of 9","2 out of 10","0.845","0.000","1.850","0.221","7 out of 10","8 out of 9","8 out of 10","0 out of 10","0.751","0.000","0.669","0.958","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.000","0.680","1 out of 10","0 out of 9","1 out of 10","0.799","0.000","1.222","0.347","6 out of 10","7 out of 9","7 out of 10","0.750","0.000","0.728","0.660","2 out of 10","0 out of 9","2 out of 10"
"340013","RUTHERFORD REGIONAL MEDICAL CENTER","288 SOUTH RIDGECREST AVE","Rutherfordton","NC","28139","RUTHERFORD","0.777936","0.547889","0.701189","0.623790","7 out of 10","5 out of 9","7 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","4.984","0.837","1 out of 10","8 out of 9","8 out of 10","6 out of 10","0.751","0.000","2.549","0.796","0 out of 10","6 out of 9","6 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.941","1.025","0 out of 10","0 out of 9","0 out of 10"
"340014","NOVANT HEALTH FORSYTH MEDICAL CENTER","3333 SILAS CREEK PARKWAY","Winston-Salem","NC","27103","FORSYTH","0.777936","0.547889","0.784418","0.480160","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.410","0.796","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.245","0.569","3 out of 10","5 out of 9","5 out of 10","6 out of 10","0.751","0.000","1.186","0.211","7 out of 10","8 out of 9","8 out of 10","0.698","0.000","1.293","1.203","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","1.222","1.509","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.102","1.256","0 out of 10","0 out of 9","0 out of 10"
"340015","NOVANT HEALTH ROWAN MEDICAL CENTER","612 MOCKSVILLE AVE","Salisbury","NC","28144","ROWAN","0.777936","0.547889","1.034547","0.510133","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.304","0.652","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.241","1.393","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0.751","0.000","1.202","0.639","2 out of 10","4 out of 9","4 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.641","1.668","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.563","1.286","0 out of 10","0 out of 9","0 out of 10"
"340016","HARRIS REGIONAL HOSPITAL","68 HOSPITAL RD","Sylva","NC","28779","JACKSON","0.777936","0.547889","0.834927","0.599296","7 out of 10","8 out of 9","8 out of 10","0.457","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.845","0.000","0.000","0.577","3 out of 10","0 out of 9","3 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.799","0.607","2 out of 10","2 out of 9","2 out of 10"
"340017","MARGARET R PARDEE MEMORIAL HOSPITAL","800 N JUSTICE ST","Hendersonville","NC","28791","HENDERSON","0.777936","0.547889","0.654329","0.449112","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.598","1.048","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.751","0.000","0.000","1.621","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.247","0.640","2 out of 10","4 out of 9","4 out of 10","0.750","0.000","0.599","0.851","0 out of 10","0 out of 9","0 out of 10"
"340020","CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST","Sanford","NC","27330","LEE","0.777936","0.547889","1.022663","0.552258","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0.751","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.976","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.942","0.741","1 out of 10","2 out of 9","2 out of 10"
"340021","CAROLINAS HEALTHCARE SYSTEM CLEVELAND","201 E GROVER ST","Shelby","NC","28150","CLEVELAND","0.777936","0.547889","0.992084","0.315563","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","1.025","0.270","4 out of 10","7 out of 9","7 out of 10","0.845","0.000","1.015","0.728","2 out of 10","2 out of 9","2 out of 10","5 out of 10","0.751","0.000","2.517","1.412","0 out of 10","4 out of 9","4 out of 10","0.698","0.000","1.608","0.564","2 out of 10","6 out of 9","6 out of 10","0.799","0.000","2.367","1.342","0 out of 10","4 out of 9","4 out of 10","0.750","0.000","0.645","0.532","3 out of 10","1 out of 9","3 out of 10"
"340023","PARK RIDGE HEALTH","100 HOSPITAL DRIVE","Fletcher","NC","28732","HENDERSON","0.777936","0.547889","0.735432","0.808691","0 out of 10","0 out of 9","0 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.672","0.000","10 out of 10","9 out of 9","10 out of 10","0 out of 10","0.751","0.000","0.000","0.923","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.712","0.613","2 out of 10","1 out of 9","2 out of 10"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","Clinton","NC","28328","SAMPSON","0.777936","0.547889","1.041901","0.488045","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.394","0.558","3 out of 10","0 out of 9","3 out of 10"
"340027","LENOIR MEMORIAL HOSPITAL","100 AIRPORT RD","Kinston","NC","28503","LENOIR","0.777936","0.547889","0.968376","0.683501","4 out of 10","6 out of 9","6 out of 10","0.457","0.000","1.275","2.967","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.000","1.379","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.751","0.000","Not Available","1.136","0 out of 10","Not Available","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.179","1.791","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.241","0.166","8 out of 10","8 out of 9","8 out of 10"
"340028","CAPE FEAR VALLEY MEDICAL CENTER","1638 OWEN DRIVE P O BOX 2000","Fayetteville","NC","28302","CUMBERLAND","0.777936","0.547889","0.678546","0.546051","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.815","0.382","2 out of 10","5 out of 9","5 out of 10","0.845","0.000","1.979","0.603","3 out of 10","6 out of 9","6 out of 10","1 out of 10","0.751","0.000","0.774","1.052","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.699","0.354","5 out of 10","4 out of 9","5 out of 10","0.799","0.000","1.940","1.160","0 out of 10","4 out of 9","4 out of 10","0.750","0.000","1.049","0.734","1 out of 10","3 out of 9","3 out of 10"
"340030","DUKE UNIVERSITY HOSPITAL","PO BOX 3814 DUMC  ERWIN RD","Durham","NC","27710","DURHAM","0.777936","0.547889","0.621461","0.529772","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.585","0.569","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.984","0.705","2 out of 10","2 out of 9","2 out of 10","9 out of 10","0.751","0.000","0.592","0.110","8 out of 10","8 out of 9","8 out of 10","0.698","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.799","0.000","0.549","1.079","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.920","0.697","1 out of 10","2 out of 9","2 out of 10"
"340032","CAROMONT REGIONAL MEDICAL CENTER","2525 COURT DR","Gastonia","NC","28054","GASTON","0.777936","0.547889","1.040740","0.381985","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.338","0.205","5 out of 10","3 out of 9","5 out of 10","0.845","0.000","0.993","0.546","4 out of 10","4 out of 9","4 out of 10","6 out of 10","0.751","0.000","1.461","0.335","5 out of 10","7 out of 9","7 out of 10","0.698","0.000","0.532","1.634","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","0.980","0.197","7 out of 10","7 out of 9","7 out of 10","0.750","0.000","1.128","0.702","1 out of 10","3 out of 9","3 out of 10"
"340037","CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN","706 W KING ST","Kings Mountain","NC","28086","CLEVELAND","0.777936","0.547889","0.634483","0.492157","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.122","0.615","2 out of 10","0 out of 9","2 out of 10"
"340039","IREDELL MEMORIAL HOSPITAL INC","557 BROOKDALE DR  P O BOX 1828","Statesville","NC","28677","IREDELL","0.777936","0.547889","0.755935","0.525103","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.845","0.000","0.309","0.329","6 out of 10","0 out of 9","6 out of 10","5 out of 10","0.751","0.000","0.703","0.343","5 out of 10","5 out of 9","5 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","0.601","3 out of 10","0 out of 9","3 out of 10","0.750","0.000","1.118","1.433","0 out of 10","0 out of 9","0 out of 10"
"340040","VIDANT MEDICAL CENTER","2100 STANTONSBURG RD","Greenville","NC","27835","PITT","0.777936","0.547889","1.083604","0.590477","8 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.821","0.470","0 out of 10","4 out of 9","4 out of 10","0.845","0.000","2.373","1.134","0 out of 10","5 out of 9","5 out of 10","0 out of 10","0.751","0.000","0.693","1.514","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","1.152","1.490","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","0.727","0.255","7 out of 10","6 out of 9","7 out of 10","0.750","0.000","0.805","0.703","1 out of 10","1 out of 9","1 out of 10"
"340041","CALDWELL MEMORIAL HOSPITAL","321 MULBERRY ST SW","Lenoir","NC","28645","CALDWELL","0.777936","0.547889","0.735067","0.685521","4 out of 10","2 out of 9","4 out of 10","0.457","0.000","0.464","0.461","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.377","0.357","6 out of 10","0 out of 9","6 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","0.786","1 out of 10","Not Available","1 out of 10","0.750","0.000","1.319","1.052","0 out of 10","2 out of 9","2 out of 10"
"340042","ONSLOW MEMORIAL HOSPITAL","317 WESTERN BOULEVARD","Jacksonville","NC","28546","ONSLOW","0.777936","0.547889","0.678973","0.586215","8 out of 10","7 out of 9","8 out of 10","0.457","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.751","0.000","0.521","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.205","0.675","2 out of 10","4 out of 9","4 out of 10","0.750","0.000","1.322","1.335","0 out of 10","0 out of 9","0 out of 10"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","Winston-Salem","NC","27157","FORSYTH","0.777936","0.547889","0.786317","0.533323","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.434","0.679","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.697","0.241","7 out of 10","6 out of 9","7 out of 10","0 out of 10","0.751","0.000","1.060","1.874","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.000","1.027","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","1.117","1.841","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.180","1.266","0 out of 10","0 out of 9","0 out of 10"
"340049","NORTH CAROLINA SPECIALTY HOSPITAL","3916 BEN FRANKLIN BOULEVARD","Durham","NC","27704","DURHAM","0.777936","0.547889","0.662964","0.688018","4 out of 10","0 out of 9","4 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"340050","SOUTHEASTERN REGIONAL MEDICAL CENTER","300 W 27 ST  PO BOX 1408","Lumberton","NC","28359","ROBESON","0.777936","0.547889","0.785929","0.637827","6 out of 10","6 out of 9","6 out of 10","0.457","0.000","1.220","0.328","3 out of 10","7 out of 9","7 out of 10","0.845","0.000","1.788","1.051","0 out of 10","4 out of 9","4 out of 10","0 out of 10","0.751","0.000","0.682","0.793","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.571","0.866","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","2.101","1.093","0 out of 10","4 out of 9","4 out of 10","0.750","0.000","0.690","0.690","1 out of 10","0 out of 9","1 out of 10"
"340051","WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD","Boone","NC","28607","WATAUGA","0.777936","0.547889","0.755897","0.560352","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.564","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","1.034","0.562","3 out of 10","4 out of 9","4 out of 10"
"340053","NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER","200 HAWTHORNE LANE BOX 33549","Charlotte","NC","28204","MECKLENBURG","0.777936","0.547889","1.076216","0.564986","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.454","1.317","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.684","0.512","4 out of 10","6 out of 9","6 out of 10","1 out of 10","0.751","0.000","0.888","0.722","1 out of 10","1 out of 9","1 out of 10","0.698","0.000","0.740","0.758","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","1.213","1.506","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.800","1.133","0 out of 10","0 out of 9","0 out of 10"
"340060","MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HIGHWAY","Eden","NC","27288","ROCKINGHAM","0.777936","0.547889","0.798635","0.607896","7 out of 10","7 out of 9","7 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","0.887","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","1.003","0.698","1 out of 10","3 out of 9","3 out of 10"
"340061","UNIVERSITY OF NORTH CAROLINA HOSPITAL","101 MANNING DRIVE","Chapel Hill","NC","27514","ORANGE","0.777936","0.547889","0.855019","0.745182","2 out of 10","3 out of 9","3 out of 10","0.457","0.000","0.590","0.498","0 out of 10","1 out of 9","1 out of 10","0.845","0.000","1.038","0.882","0 out of 10","1 out of 9","1 out of 10","6 out of 10","0.751","0.000","2.266","0.886","0 out of 10","6 out of 9","6 out of 10","0.698","0.000","1.577","0.862","0 out of 10","4 out of 9","4 out of 10","0.799","0.000","1.157","1.165","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.848","1.154","0 out of 10","0 out of 9","0 out of 10"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","North Wilkesboro","NC","28659","WILKES","0.777936","0.547889","0.690918","0.496316","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","0.582","3 out of 10","0 out of 9","3 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.196","0.331","6 out of 10","0 out of 9","6 out of 10"
"340068","COLUMBUS REGIONAL HEALTHCARE SYSTEM","500 JEFFERSON ST","Whiteville","NC","28472","COLUMBUS","0.777936","0.547889","0.585990","0.607293","7 out of 10","0 out of 9","7 out of 10","0.457","0.000","Not Available","1.481","0 out of 10","Not Available","0 out of 10","0.845","0.000","2.710","0.000","10 out of 10","9 out of 9","10 out of 10","3 out of 10","0.751","0.000","0.000","0.536","3 out of 10","0 out of 9","3 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.982","0.000","10 out of 10","9 out of 9","10 out of 10","0.750","0.000","1.287","0.219","7 out of 10","8 out of 9","8 out of 10"
"340069","WAKEMED, RALEIGH CAMPUS","3000 NEW BERN AVE","Raleigh","NC","27610","WAKE","0.777936","0.547889","0.686374","0.640073","6 out of 10","3 out of 9","6 out of 10","0.457","0.000","0.791","0.454","1 out of 10","4 out of 9","4 out of 10","0.845","0.000","1.345","1.318","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0.751","0.000","0.596","1.135","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.327","0.000","10 out of 10","9 out of 9","10 out of 10","0.799","0.000","1.325","1.052","0 out of 10","2 out of 9","2 out of 10","0.750","0.000","0.961","0.930","0 out of 10","0 out of 9","0 out of 10"
"340070","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL RD","Burlington","NC","27216","ALAMANCE","0.777936","0.547889","0.702873","0.444379","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.276","1.291","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","3.513","0.584","3 out of 10","8 out of 9","8 out of 10","0 out of 10","0.751","0.000","1.529","1.854","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.729","0.516","4 out of 10","7 out of 9","7 out of 10","0.750","0.000","1.164","0.869","0 out of 10","2 out of 9","2 out of 10"
"340071","BETSY JOHNSON REGIONAL  HOSPITAL","800 TILGHMAN DR","Dunn","NC","28334","HARNETT","0.777936","0.547889","0.646877","0.476101","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.665","0.000","10 out of 10","9 out of 9","10 out of 10","0.750","0.000","1.581","0.929","0 out of 10","4 out of 9","4 out of 10"
"340073","DUKE HEALTH RALEIGH HOSPITAL","3400 WAKE FOREST RD","Raleigh","NC","27609","WAKE","0.777936","0.547889","0.723461","0.463354","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.845","0.000","0.696","0.349","6 out of 10","4 out of 9","6 out of 10","7 out of 10","0.751","0.000","0.978","0.240","7 out of 10","7 out of 9","7 out of 10","0.698","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","0.468","4 out of 10","0 out of 9","4 out of 10","0.750","0.000","0.950","0.700","1 out of 10","2 out of 9","2 out of 10"
"340075","CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE","2201 S STERLING ST","Morganton","NC","28655","BURKE","0.777936","0.547889","0.772124","0.552090","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.794","0.881","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.226","0.490","4 out of 10","0 out of 9","4 out of 10","1 out of 10","0.751","0.000","1.095","0.920","0 out of 10","1 out of 9","1 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.339","0.000","10 out of 10","9 out of 9","10 out of 10","0.750","0.000","0.297","0.663","2 out of 10","0 out of 9","2 out of 10"
"340085","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","Thomasville","NC","28275","DAVIDSON","0.777936","0.547889","0.780379","0.843367","0 out of 10","0 out of 9","0 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.826","0.685","2 out of 10","1 out of 9","2 out of 10","10 out of 10","0.751","0.000","1.059","0.000","10 out of 10","9 out of 9","10 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","0.991","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.404","0.931","0 out of 10","0 out of 9","0 out of 10"
"340087","THE MCDOWELL HOSPITAL","430 RANKIN DRIVE P O BOX 730","Asheville","NC","28803","MCDOWELL","0.777936","0.547889","0.911507","0.622278","7 out of 10","7 out of 9","7 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.939","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.358","0.287","6 out of 10","1 out of 9","6 out of 10"
