Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score
"330061","LAWRENCE HOSPITAL CENTER","55 PALMER AVENUE","Bronxville","NY","10708","WESTCHESTER","0.851458","0.871669","0.868846","0.861999","5 out of 10","0 out of 9","5 out of 10","0.881794","0.903985","0.880855","0.876315","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.882330","0.863581","0 out of 10","0 out of 9","0 out of 10"
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","Niagara Falls","NY","14302","NIAGARA","0.851458","0.871669","0.840413","0.870024","Not Available","Not Available","Not Available","0.881794","0.903985","0.886261","0.865479","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.875905","0.886789","2 out of 10","3 out of 9","3 out of 10"
"330073","UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","Batavia","NY","14020","GENESEE","0.851458","0.871669","0.845220","0.866144","Not Available","Not Available","Not Available","0.881794","0.903985","0.879322","0.876812","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.881168","0.889300","3 out of 10","3 out of 9","3 out of 10"
"330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","Canandaigua","NY","14424","ONTARIO","0.851458","0.871669","0.851021","0.845514","Not Available","Not Available","Not Available","0.881794","0.903985","0.866458","0.872870","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.860891","0.871974","0 out of 10","2 out of 9","2 out of 10"
"330078","SISTERS OF CHARITY HOSPITAL","2157 MAIN STREET","Buffalo","NY","14214","ERIE","0.851458","0.871669","0.840513","0.862745","6 out of 10","7 out of 9","7 out of 10","0.881794","0.903985","0.898100","0.875482","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.871494","0.892029","4 out of 10","5 out of 9","5 out of 10"
"330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","Saranac Lake","NY","12983","FRANKLIN","0.851458","0.871669","0.846645","0.860499","Not Available","Not Available","Not Available","0.881794","0.903985","0.878818","0.848488","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.872797","0.888442","2 out of 10","4 out of 9","4 out of 10"
"330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","234 EAST 149TH STREET","Bronx","NY","10451","BRONX","0.851458","0.871669","0.841982","0.869056","8 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.900678","0.880122","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.889466","0.878314","0 out of 10","0 out of 9","0 out of 10"
"330084","ALICE HYDE MEDICAL CENTER","133 PARK STREET","Malone","NY","12953","FRANKLIN","0.851458","0.871669","0.847374","0.859572","4 out of 10","5 out of 9","5 out of 10","0.881794","0.903985","0.873966","0.880259","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.866300","0.888664","3 out of 10","5 out of 9","5 out of 10"
"330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONE NORTON AVENUE","Oneonta","NY","13820","OTSEGO","0.851458","0.871669","0.850134","0.867817","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.888217","0.883610","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.876112","0.871630","0 out of 10","0 out of 9","0 out of 10"
"330086","MONTEFIORE MOUNT VERNON HOSPITAL","12 NORTH 7TH AVENUE","Mount Vernon","NY","10550","WESTCHESTER","0.851458","0.871669","0.856723","0.864256","Not Available","Not Available","Not Available","0.881794","0.903985","0.877011","0.873374","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.887979","0.890211","3 out of 10","1 out of 9","3 out of 10"
"330088","EASTERN LONG ISLAND HOSPITAL","201 MANOR PLACE","Greenport","NY","11944","SUFFOLK","0.851458","0.871669","0.858497","0.865657","Not Available","Not Available","Not Available","0.881794","0.903985","0.881557","0.866031","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.886079","0.892851","4 out of 10","3 out of 9","4 out of 10"
"330090","ARNOT OGDEN MEDICAL CENTER","600 ROE AVENUE","Elmira","NY","14905","CHEMUNG","0.851458","0.871669","0.867995","0.856892","3 out of 10","0 out of 9","3 out of 10","0.881794","0.903985","0.879182","0.867112","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.903905","0.881015","0 out of 10","0 out of 9","0 out of 10"
"330094","COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVENUE","Hudson","NY","12534","COLUMBIA","0.851458","0.871669","0.849687","0.844289","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.874942","0.889735","4 out of 10","5 out of 9","5 out of 10","0.882986","0.908124","0.869637","0.872648","0 out of 10","0 out of 9","0 out of 10"
"330096","JONES MEMORIAL HOSPITAL","191 NORTH MAIN STREET","Wellsville","NY","14895","ALLEGANY","0.851458","0.871669","0.842964","0.853520","Not Available","Not Available","Not Available","0.881794","0.903985","0.871126","0.854853","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.859588","0.884202","1 out of 10","5 out of 9","5 out of 10"
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","New York","NY","10021","NEW YORK","0.851458","0.871669","0.890923","0.890484","10 out of 10","0 out of 9","10 out of 10","0.881794","0.903985","0.917622","0.908077","10 out of 10","0 out of 9","10 out of 10","0.882986","0.908124","0.922367","0.900999","7 out of 10","0 out of 9","7 out of 10"
"330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","Kenmore","NY","14217","ERIE","0.851458","0.871669","0.837677","0.869040","8 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.876030","0.854964","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.884262","0.879493","0 out of 10","0 out of 9","0 out of 10"
"330103","OLEAN GENERAL HOSPITAL","515 MAIN STREET","Olean","NY","14760","CATTARAUGUS","0.851458","0.871669","0.837197","0.872772","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.885338","0.862556","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.873322","0.896415","5 out of 10","6 out of 9","6 out of 10"
"330104","NYACK HOSPITAL","160 NORTH MIDLAND AVENUE","Nyack","NY","10960","ROCKLAND","0.851458","0.871669","0.844148","0.876858","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.893030","0.885218","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.852484","0.896371","5 out of 10","7 out of 9","7 out of 10"
"330106","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","Westbury","NY","11590","NASSAU","0.851458","0.871669","0.862538","0.875641","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.861844","0.897600","7 out of 10","8 out of 9","8 out of 10","0.882986","0.908124","0.911633","0.907191","9 out of 10","0 out of 9","9 out of 10"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","Riverhead","NY","11901","SUFFOLK","0.851458","0.871669","0.854074","0.868616","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.870127","0.874155","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.872191","0.888806","3 out of 10","4 out of 9","4 out of 10"
"330111","BERTRAND CHAFFEE HOSPITAL","224 EAST MAIN STREET","Springville","NY","14141","ERIE","0.851458","0.871669","0.852890","0.864644","Not Available","Not Available","Not Available","0.881794","0.903985","0.884467","0.877513","Not Available","Not Available","Not Available","0.882986","0.908124","0.889473","0.878859","0 out of 10","0 out of 9","0 out of 10"
"330115","ONEIDA HEALTHCARE","321 GENESEE STREET","Oneida","NY","13421","MADISON","0.851458","0.871669","0.853293","0.862304","Not Available","Not Available","Not Available","0.881794","0.903985","0.885030","0.848914","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.875110","0.882540","0 out of 10","2 out of 9","2 out of 10"
"330119","LENOX HILL HOSPITAL","100 EAST 77TH STREET","New York","NY","10021","NEW YORK","0.851458","0.871669","0.867797","0.876420","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.911485","0.902812","9 out of 10","0 out of 9","9 out of 10","0.882986","0.908124","0.906727","0.912547","10 out of 10","9 out of 9","10 out of 10"
"330125","ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVENUE","Rochester","NY","14621","MONROE","0.851458","0.871669","0.864524","0.885048","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.890112","0.896514","6 out of 10","4 out of 9","6 out of 10","0.882986","0.908124","0.897201","0.897364","6 out of 10","0 out of 9","6 out of 10"
"330126","ORANGE REGIONAL MEDICAL CENTER","707 EAST MAIN STREET","Middletown","NY","10940","ORANGE","0.851458","0.871669","0.862424","0.885462","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.887022","0.872194","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.879764","0.892246","4 out of 10","4 out of 9","4 out of 10"
"330127","JACOBI MEDICAL CENTER","1400 PELHAM PARKWAY SOUTH","Bronx","NY","10461","BRONX","0.851458","0.871669","0.838759","0.871583","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.896379","0.889768","4 out of 10","0 out of 9","4 out of 10","0.882986","0.908124","0.888579","0.892062","4 out of 10","1 out of 9","4 out of 10"
"330128","ELMHURST HOSPITAL CENTER","79-01 BROADWAY","Elmhurst","NY","11373","QUEENS","0.851458","0.871669","0.845211","0.860342","4 out of 10","5 out of 9","5 out of 10","0.881794","0.903985","0.876393","0.893110","5 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.885936","0.875783","0 out of 10","0 out of 9","0 out of 10"
"330132","TLC HEALTH NETWORK","845 ROUTES 5 AND 20","Irving","NY","14081","CHAUTAUQUA","0.851458","0.871669","0.845985","Not Available","Not Available","Not Available","Not Available","0.881794","0.903985","0.875382","0.885582","Not Available","Not Available","Not Available","0.882986","0.908124","0.843873","0.879778","0 out of 10","5 out of 9","5 out of 10"
"330135","BON SECOURS COMMUNITY HOSPITAL","160 EAST MAIN STREET","Port Jervis","NY","12771","ORANGE","0.851458","0.871669","0.856708","0.861756","5 out of 10","3 out of 9","5 out of 10","0.881794","0.903985","0.890477","0.884078","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.906934","0.894341","5 out of 10","0 out of 9","5 out of 10"
"330136","MARY IMOGENE BASSETT HOSPITAL","ONE ATWELL ROAD","Cooperstown","NY","13326","OTSEGO","0.851458","0.871669","0.862254","0.874298","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.887304","0.854048","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.891102","0.906721","9 out of 10","9 out of 9","9 out of 10"
"330140","ST JOSEPH'S HOSPITAL HEALTH CENTER","301 PROSPECT AVENUE","Syracuse","NY","13203","ONONDAGA","0.851458","0.871669","0.859050","0.886655","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.865179","0.889172","3 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.903266","0.900367","7 out of 10","0 out of 9","7 out of 10"
"330141","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL ROAD","Patchogue","NY","11772","SUFFOLK","0.851458","0.871669","0.860350","0.869001","8 out of 10","7 out of 9","8 out of 10","0.881794","0.903985","0.895465","0.897202","7 out of 10","2 out of 9","7 out of 10","0.882986","0.908124","0.896036","0.882645","0 out of 10","0 out of 9","0 out of 10"
"330144","IRA DAVENPORT MEMORIAL HOSPITAL, INC","7571 STATE ROUTE 54","Bath","NY","14810","STEUBEN","0.851458","0.871669","0.857908","0.867700","Not Available","Not Available","Not Available","0.881794","0.903985","0.874848","0.850180","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.878949","0.888932","3 out of 10","3 out of 9","3 out of 10"
"330151","ST JAMES MERCY HOSPITAL","411 CANISTEO STREET","Hornell","NY","14843","STEUBEN","0.851458","0.871669","0.853854","0.862308","Not Available","Not Available","Not Available","0.881794","0.903985","0.874958","0.868709","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.880912","0.875693","0 out of 10","0 out of 9","0 out of 10"
"330153","ELLIS HOSPITAL","1101 NOTT STREET","Schenectady","NY","12308","SCHENECTADY","0.851458","0.871669","0.847441","0.854471","2 out of 10","2 out of 9","2 out of 10","0.881794","0.903985","0.888439","0.877303","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.856161","0.884902","1 out of 10","5 out of 9","5 out of 10"
"330157","SAMARITAN MEDICAL CENTER","830 WASHINGTON STREET","Watertown","NY","13601","JEFFERSON","0.851458","0.871669","0.834386","0.854107","2 out of 10","5 out of 9","5 out of 10","0.881794","0.903985","0.873643","0.858871","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.889825","0.885205","1 out of 10","0 out of 9","1 out of 10"
"330158","GOOD SAMARITAN HOSPITAL OF SUFFERN","255 LAFAYETTE AVENUE","Suffern","NY","10901","ROCKLAND","0.851458","0.871669","0.858064","0.857109","3 out of 10","0 out of 9","3 out of 10","0.881794","0.903985","0.898797","0.892307","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.894728","0.902953","8 out of 10","6 out of 9","8 out of 10"
"330160","STATEN ISLAND UNIVERSITY HOSPITAL","475 SEAVIEW AVENUE","Staten Island","NY","10305","RICHMOND","0.851458","0.871669","0.842466","0.861654","5 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.887315","0.876543","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.874243","0.879866","0 out of 10","1 out of 9","1 out of 10"
"330162","NORTHERN WESTCHESTER HOSPITAL","400 EAST MAIN STREET","Mount Kisco","NY","10549","WESTCHESTER","0.851458","0.871669","0.840037","0.860732","5 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.885427","0.865802","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.909657","0.892005","4 out of 10","0 out of 9","4 out of 10"
"330163","EASTERN NIAGARA HOSPITAL","521 EAST AVENUE","Lockport","NY","14094","NIAGARA","0.851458","0.871669","0.846674","0.848576","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.880403","0.891451","4 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.857962","0.883832","1 out of 10","5 out of 9","5 out of 10"
"330164","HIGHLAND HOSPITAL","1000 SOUTH AVENUE","Rochester","NY","14620","MONROE","0.851458","0.871669","0.838531","0.861448","Not Available","Not Available","Not Available","0.881794","0.903985","0.847199","0.858505","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.853536","0.882200","0 out of 10","5 out of 9","5 out of 10"
"330167","WINTHROP-UNIVERSITY HOSPITAL","259 FIRST STREET","Mineola","NY","11501","NASSAU","0.851458","0.871669","0.852338","0.864058","6 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.897274","0.893171","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.898444","0.897709","6 out of 10","0 out of 9","6 out of 10"
"330169","MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS","FIRST AVENUE AT 16TH STREET","New York","NY","10003","NEW YORK","0.851458","0.871669","0.855942","0.877683","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.897849","0.898050","7 out of 10","0 out of 9","7 out of 10","0.882986","0.908124","0.887125","0.908627","10 out of 10","9 out of 9","10 out of 10"
"330175","CORTLAND REGIONAL MEDICAL CENTER, INC","134 HOMER AVENUE","Cortland","NY","13045","CORTLAND","0.851458","0.871669","0.855217","0.869401","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.901007","0.891974","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.898382","0.913509","10 out of 10","9 out of 9","10 out of 10"
"330180","SAMARITAN HOSPITAL","2215 BURDETT AVENUE","Troy","NY","12180","RENSSELAER","0.851458","0.871669","0.845724","0.859500","4 out of 10","5 out of 9","5 out of 10","0.881794","0.903985","0.883094","0.871390","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.901476","0.875056","0 out of 10","0 out of 9","0 out of 10"
"330181","GLEN COVE HOSPITAL","101 ST ANDREWS LANE","Glen Cove","NY","11542","NASSAU","0.851458","0.871669","0.858891","0.864145","6 out of 10","4 out of 9","6 out of 10","0.881794","0.903985","0.881859","0.876688","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.904605","0.873809","0 out of 10","0 out of 9","0 out of 10"
"330182","ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD","Roslyn","NY","11576","NASSAU","0.851458","0.871669","0.858529","0.892082","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.899900","0.891694","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.886316","0.915132","10 out of 10","9 out of 9","10 out of 10"
"330184","MONTEFIORE NEW ROCHELLE HOSPITAL","16 GUION PLACE","New Rochelle","NY","10802","WESTCHESTER","0.851458","0.871669","0.853491","0.870628","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.862086","0.898636","7 out of 10","8 out of 9","8 out of 10","0.882986","0.908124","0.880779","0.877998","0 out of 10","0 out of 9","0 out of 10"
"330185","JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","75 NORTH COUNTRY ROAD","Port Jefferson","NY","11777","SUFFOLK","0.851458","0.871669","0.861844","0.861378","5 out of 10","0 out of 9","5 out of 10","0.881794","0.903985","0.893318","0.900279","8 out of 10","6 out of 9","8 out of 10","0.882986","0.908124","0.901764","0.918751","10 out of 10","9 out of 9","10 out of 10"
"330188","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","Lewiston","NY","14092","NIAGARA","0.851458","0.871669","0.842190","0.872504","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.886724","0.882356","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.880620","0.894236","5 out of 10","4 out of 9","5 out of 10"
"330191","GLENS FALLS HOSPITAL","100 PARK STREET","Glens Falls","NY","12801","WARREN","0.851458","0.871669","0.854252","0.858648","4 out of 10","2 out of 9","4 out of 10","0.881794","0.903985","0.875483","0.862811","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.894981","0.863512","0 out of 10","0 out of 9","0 out of 10"
"330193","FLUSHING HOSPITAL MEDICAL CENTER","45TH AVENUE AND PARSONS BOULEVARD","Flushing","NY","11355","QUEENS","0.851458","0.871669","0.845532","0.872200","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.844239","0.884144","1 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.874354","0.888960","3 out of 10","4 out of 9","4 out of 10"
"330194","MAIMONIDES MEDICAL CENTER","4802 TENTH AVENUE","Brooklyn","NY","11219","KINGS","0.851458","0.871669","0.879893","0.892152","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.911433","0.914008","10 out of 10","9 out of 9","10 out of 10","0.882986","0.908124","0.918391","0.914564","10 out of 10","0 out of 9","10 out of 10"
"330195","LONG ISLAND JEWISH MEDICAL CENTER","270 - 05 76TH AVENUE","New Hyde Park","NY","11040","QUEENS","0.851458","0.871669","0.854966","0.860914","5 out of 10","3 out of 9","5 out of 10","0.881794","0.903985","0.899640","0.893343","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.862028","0.894023","4 out of 10","6 out of 9","6 out of 10"
"330196","CONEY ISLAND HOSPITAL","2601 OCEAN PARKWAY","Brooklyn","NY","11235","KINGS","0.851458","0.871669","0.848310","0.868852","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.885278","0.907949","10 out of 10","9 out of 9","10 out of 10","0.882986","0.908124","0.895373","0.887442","2 out of 10","0 out of 9","2 out of 10"
"330197","CANTON-POTSDAM HOSPITAL","50 LEROY STREET","Potsdam","NY","13676","ST. LAWRENCE","0.851458","0.871669","0.842572","0.863734","6 out of 10","Not Available","6 out of 10","0.881794","0.903985","0.874248","0.886894","3 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.887360","0.912989","10 out of 10","9 out of 9","10 out of 10"
"330198","SOUTH NASSAU COMMUNITIES HOSPITAL","ONE HEALTHY WAY","Oceanside","NY","11572","NASSAU","0.851458","0.871669","0.844919","0.842875","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.877667","0.862585","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.872697","0.910677","10 out of 10","9 out of 9","10 out of 10"
"330199","METROPOLITAN HOSPITAL CENTER","1901 FIRST AVENUE","New York","NY","10029","NEW YORK","0.851458","0.871669","0.861336","0.869057","Not Available","Not Available","Not Available","0.881794","0.903985","0.886270","0.890781","Not Available","Not Available","Not Available","0.882986","0.908124","0.890716","0.892789","Not Available","Not Available","Not Available"
"330201","KINGSBROOK JEWISH MEDICAL CENTER","585 SCHENECTADY AVENUE","Brooklyn","NY","11203","KINGS","0.851458","0.871669","0.856476","0.869300","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.901278","0.899082","8 out of 10","0 out of 9","8 out of 10","0.882986","0.908124","0.901563","0.883718","1 out of 10","0 out of 9","1 out of 10"
"330202","KINGS COUNTY HOSPITAL CENTER","451 CLARKSON AVENUE","Brooklyn","NY","11203","KINGS","0.851458","0.871669","0.854635","0.861727","5 out of 10","Not Available","5 out of 10","0.881794","0.903985","0.890876","0.884242","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.882360","0.898500","6 out of 10","6 out of 9","6 out of 10"
"330203","CROUSE HOSPITAL","736 IRVING AVENUE","Syracuse","NY","13210","ONONDAGA","0.851458","0.871669","0.847523","0.854631","2 out of 10","2 out of 9","2 out of 10","0.881794","0.903985","0.895554","0.875159","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.875224","0.890153","3 out of 10","4 out of 9","4 out of 10"
"330204","BELLEVUE HOSPITAL CENTER","462 FIRST AVENUE","New York","NY","10016","NEW YORK","0.851458","0.871669","0.861317","0.848111","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.889877","0.889411","4 out of 10","0 out of 9","4 out of 10","0.882986","0.908124","0.896258","0.867872","0 out of 10","0 out of 9","0 out of 10"
"330205","ST ANTHONY COMMUNITY HOSPITAL","15 - 19  MAPLE AVENUE","Warwick","NY","10990","ORANGE","0.851458","0.871669","0.855189","0.871023","Not Available","Not Available","Not Available","0.881794","0.903985","0.877875","0.870986","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.903731","0.896459","5 out of 10","0 out of 9","5 out of 10"
"330208","ST JOHN'S RIVERSIDE HOSPITAL","976 NORTH BROADWAY","Yonkers","NY","10701","WESTCHESTER","0.851458","0.871669","0.853900","0.862942","6 out of 10","5 out of 9","6 out of 10","0.881794","0.903985","0.899456","0.894334","6 out of 10","0 out of 9","6 out of 10","0.882986","0.908124","0.875218","0.905793","9 out of 10","9 out of 9","9 out of 10"
"330211","CLAXTON-HEPBURN MEDICAL CENTER","214 KING STREET","Ogdensburg","NY","13669","ST. LAWRENCE","0.851458","0.871669","0.858291","0.863332","6 out of 10","3 out of 9","6 out of 10","0.881794","0.903985","0.888033","0.884618","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.878848","0.894169","5 out of 10","5 out of 9","5 out of 10"
"330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","New York","NY","10016","NEW YORK","0.851458","0.871669","0.893654","0.875818","10 out of 10","0 out of 9","10 out of 10","0.881794","0.903985","0.911489","0.923478","10 out of 10","9 out of 9","10 out of 10","0.882986","0.908124","0.922250","0.913972","10 out of 10","0 out of 9","10 out of 10"
"330215","ROME MEMORIAL HOSPITAL, INC","1500 NORTH JAMES STREET","Rome","NY","13440","ONEIDA","0.851458","0.871669","0.846697","0.858422","4 out of 10","4 out of 9","4 out of 10","0.881794","0.903985","0.881792","0.860183","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.874666","0.889264","3 out of 10","4 out of 9","4 out of 10"
"330218","OSWEGO HOSPITAL","110 WEST SIXTH STREET","Oswego","NY","13069","OSWEGO","0.851458","0.871669","0.861616","0.854439","2 out of 10","0 out of 9","2 out of 10","0.881794","0.903985","0.863791","0.901250","8 out of 10","9 out of 9","9 out of 10","0.882986","0.908124","0.859737","0.903278","8 out of 10","8 out of 9","8 out of 10"
"330219","ERIE COUNTY MEDICAL CENTER","462 GRIDER STREET","Buffalo","NY","14215","ERIE","0.851458","0.871669","0.851014","0.861227","Not Available","Not Available","Not Available","0.881794","0.903985","0.871347","0.880760","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.895982","0.895708","5 out of 10","0 out of 9","5 out of 10"
"330221","WYCKOFF HEIGHTS MEDICAL CENTER","374 STOCKHOLM STREET","Brooklyn","NY","11237","KINGS","0.851458","0.871669","0.868402","0.867748","8 out of 10","0 out of 9","8 out of 10","0.881794","0.903985","0.906265","0.898296","7 out of 10","0 out of 9","7 out of 10","0.882986","0.908124","0.904369","0.884856","1 out of 10","0 out of 9","1 out of 10"
"330223","MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DRIVE","Massena","NY","13662","ST. LAWRENCE","0.851458","0.871669","0.863754","0.860961","5 out of 10","0 out of 9","5 out of 10","0.881794","0.903985","0.847987","0.902569","9 out of 10","9 out of 9","9 out of 10","0.882986","0.908124","0.857516","0.880057","0 out of 10","4 out of 9","4 out of 10"
"330224","HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS","105 MARY'S AVENUE","Kingston","NY","12401","ULSTER","0.851458","0.871669","Not Available","0.860722","Not Available","Not Available","Not Available","0.881794","0.903985","0.875309","Not Available","Not Available","Not Available","Not Available","0.882986","0.908124","0.872466","0.883978","Not Available","Not Available","Not Available"
"330226","UNITY HOSPITAL OF ROCHESTER","1555 LONG POND ROAD","Rochester","NY","14626","MONROE","0.851458","0.871669","0.846176","0.864988","7 out of 10","7 out of 9","7 out of 10","0.881794","0.903985","0.885375","0.899018","7 out of 10","7 out of 9","7 out of 10","0.882986","0.908124","0.897545","0.889021","3 out of 10","0 out of 9","3 out of 10"
"330229","BROOKS MEMORIAL HOSPITAL","529 CENTRAL AVENUE","Dunkirk","NY","14048","CHAUTAUQUA","0.851458","0.871669","0.853135","0.860055","Not Available","Not Available","Not Available","0.881794","0.903985","0.886204","0.856838","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.887159","0.885652","1 out of 10","0 out of 9","1 out of 10"
"330231","QUEENS HOSPITAL CENTER","82-68 164TH STREET","Jamaica","NY","11432","QUEENS","0.851458","0.871669","0.860315","0.852511","1 out of 10","0 out of 9","1 out of 10","0.881794","0.903985","0.892580","0.888074","3 out of 10","0 out of 9","3 out of 10","0.882986","0.908124","0.880856","0.882092","0 out of 10","0 out of 9","0 out of 10"
"330232","ST MARY'S HOSPITAL ( TROY )","1300 MASSACHUSETTS AVENUE","Troy","NY","12180","RENSSELAER","0.851458","0.871669","0.856372","0.849854","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.875396","0.870970","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.869443","0.881217","0 out of 10","3 out of 9","3 out of 10"
