"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"AS","Infections from a large venous catheter","PSI_7_CVCBI","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Infections from a large venous catheter","PSI_7_CVCBI","0","61","0","1","","07/01/2013","06/30/2015"
"CA","Infections from a large venous catheter","PSI_7_CVCBI","5","295","0","4","","07/01/2013","06/30/2015"
"CO","Infections from a large venous catheter","PSI_7_CVCBI","0","46","0","0","","07/01/2013","06/30/2015"
"CT","Infections from a large venous catheter","PSI_7_CVCBI","2","28","0","1","","07/01/2013","06/30/2015"
"DC","Infections from a large venous catheter","PSI_7_CVCBI","2","5","0","0","","07/01/2013","06/30/2015"
"DE","Infections from a large venous catheter","PSI_7_CVCBI","0","6","0","0","","07/01/2013","06/30/2015"
"FL","Infections from a large venous catheter","PSI_7_CVCBI","5","165","0","3","","07/01/2013","06/30/2015"
"GA","Infections from a large venous catheter","PSI_7_CVCBI","1","102","0","2","","07/01/2013","06/30/2015"
"GU","Infections from a large venous catheter","PSI_7_CVCBI","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Infections from a large venous catheter","PSI_7_CVCBI","0","12","0","0","","07/01/2013","06/30/2015"
"IA","Infections from a large venous catheter","PSI_7_CVCBI","0","34","0","1","","07/01/2013","06/30/2015"
"ID","Infections from a large venous catheter","PSI_7_CVCBI","0","13","0","1","","07/01/2013","06/30/2015"
"IL","Infections from a large venous catheter","PSI_7_CVCBI","2","124","0","1","","07/01/2013","06/30/2015"
"IN","Infections from a large venous catheter","PSI_7_CVCBI","0","91","0","0","","07/01/2013","06/30/2015"
"KS","Infections from a large venous catheter","PSI_7_CVCBI","0","51","0","1","","07/01/2013","06/30/2015"
"KY","Infections from a large venous catheter","PSI_7_CVCBI","1","64","0","0","","07/01/2013","06/30/2015"
"LA","Infections from a large venous catheter","PSI_7_CVCBI","2","94","0","3","","07/01/2013","06/30/2015"
"MA","Infections from a large venous catheter","PSI_7_CVCBI","1","60","0","0","","07/01/2013","06/30/2015"
"MD","Infections from a large venous catheter","PSI_7_CVCBI","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Infections from a large venous catheter","PSI_7_CVCBI","0","20","0","0","","07/01/2013","06/30/2015"
"MI","Infections from a large venous catheter","PSI_7_CVCBI","3","93","0","0","","07/01/2013","06/30/2015"
"MN","Infections from a large venous catheter","PSI_7_CVCBI","1","49","0","1","","07/01/2013","06/30/2015"
"MO","Infections from a large venous catheter","PSI_7_CVCBI","0","77","0","0","","07/01/2013","06/30/2015"
"MP","Infections from a large venous catheter","PSI_7_CVCBI","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Infections from a large venous catheter","PSI_7_CVCBI","2","58","0","5","","07/01/2013","06/30/2015"
"MT","Infections from a large venous catheter","PSI_7_CVCBI","0","13","0","0","","07/01/2013","06/30/2015"
"NC","Infections from a large venous catheter","PSI_7_CVCBI","2","84","0","1","","07/01/2013","06/30/2015"
"ND","Infections from a large venous catheter","PSI_7_CVCBI","1","6","0","1","","07/01/2013","06/30/2015"
"NE","Infections from a large venous catheter","PSI_7_CVCBI","0","26","0","1","","07/01/2013","06/30/2015"
"NH","Infections from a large venous catheter","PSI_7_CVCBI","1","12","0","0","","07/01/2013","06/30/2015"
"NJ","Infections from a large venous catheter","PSI_7_CVCBI","4","60","0","0","","07/01/2013","06/30/2015"
"NM","Infections from a large venous catheter","PSI_7_CVCBI","0","31","0","1","","07/01/2013","06/30/2015"
"NV","Infections from a large venous catheter","PSI_7_CVCBI","0","22","0","2","","07/01/2013","06/30/2015"
"NY","Infections from a large venous catheter","PSI_7_CVCBI","4","150","0","2","","07/01/2013","06/30/2015"
"OH","Infections from a large venous catheter","PSI_7_CVCBI","1","129","0","2","","07/01/2013","06/30/2015"
"OK","Infections from a large venous catheter","PSI_7_CVCBI","0","88","0","3","","07/01/2013","06/30/2015"
"OR","Infections from a large venous catheter","PSI_7_CVCBI","0","34","0","0","","07/01/2013","06/30/2015"
"PA","Infections from a large venous catheter","PSI_7_CVCBI","1","149","0","3","","07/01/2013","06/30/2015"
"PR","Infections from a large venous catheter","PSI_7_CVCBI","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Infections from a large venous catheter","PSI_7_CVCBI","0","11","0","0","","07/01/2013","06/30/2015"
"SC","Infections from a large venous catheter","PSI_7_CVCBI","0","56","0","0","","07/01/2013","06/30/2015"
"SD","Infections from a large venous catheter","PSI_7_CVCBI","0","20","0","3","","07/01/2013","06/30/2015"
"TN","Infections from a large venous catheter","PSI_7_CVCBI","4","95","0","0","","07/01/2013","06/30/2015"
"TX","Infections from a large venous catheter","PSI_7_CVCBI","2","315","0","10","","07/01/2013","06/30/2015"
"UT","Infections from a large venous catheter","PSI_7_CVCBI","0","32","0","2","","07/01/2013","06/30/2015"
"VA","Infections from a large venous catheter","PSI_7_CVCBI","3","72","0","3","","07/01/2013","06/30/2015"
"VI","Infections from a large venous catheter","PSI_7_CVCBI","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Infections from a large venous catheter","PSI_7_CVCBI","1","5","0","0","","07/01/2013","06/30/2015"
"WA","Infections from a large venous catheter","PSI_7_CVCBI","0","48","0","1","","07/01/2013","06/30/2015"
"WI","Infections from a large venous catheter","PSI_7_CVCBI","1","64","0","0","","07/01/2013","06/30/2015"
"WV","Infections from a large venous catheter","PSI_7_CVCBI","0","29","0","0","","07/01/2013","06/30/2015"
"WY","Infections from a large venous catheter","PSI_7_CVCBI","0","11","0","0","","07/01/2013","06/30/2015"
"AK","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","8","0","0","","07/01/2013","06/30/2015"
"AL","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","62","0","14","","07/01/2013","06/30/2015"
"AR","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","41","0","3","","07/01/2013","06/30/2015"
"AS","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","53","0","6","","07/01/2013","06/30/2015"
"CA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","286","0","6","","07/01/2013","06/30/2015"
"CO","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","44","0","0","","07/01/2013","06/30/2015"
"CT","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","28","0","0","","07/01/2013","06/30/2015"
"DC","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","7","0","0","","07/01/2013","06/30/2015"
"DE","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","6","0","0","","07/01/2013","06/30/2015"
"FL","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","165","0","2","","07/01/2013","06/30/2015"
"GA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","92","0","8","","07/01/2013","06/30/2015"
"GU","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","12","0","0","","07/01/2013","06/30/2015"
"IA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","34","0","0","","07/01/2013","06/30/2015"
"ID","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","12","0","1","","07/01/2013","06/30/2015"
"IL","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","122","0","4","","07/01/2013","06/30/2015"
"IN","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","80","0","5","","07/01/2013","06/30/2015"
"KS","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","40","0","11","","07/01/2013","06/30/2015"
"KY","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","60","0","4","","07/01/2013","06/30/2015"
"LA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","72","0","15","","07/01/2013","06/30/2015"
"MA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","58","0","1","","07/01/2013","06/30/2015"
"MD","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","17","0","3","","07/01/2013","06/30/2015"
"MI","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","90","0","1","","07/01/2013","06/30/2015"
"MN","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","49","0","1","","07/01/2013","06/30/2015"
"MO","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","65","0","6","","07/01/2013","06/30/2015"
"MP","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","42","0","8","","07/01/2013","06/30/2015"
"MT","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","12","0","1","","07/01/2013","06/30/2015"
"NC","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","81","0","3","","07/01/2013","06/30/2015"
"ND","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","6","0","0","","07/01/2013","06/30/2015"
"NE","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","20","0","4","","07/01/2013","06/30/2015"
"NH","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","13","0","0","","07/01/2013","06/30/2015"
"NJ","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","64","0","0","","07/01/2013","06/30/2015"
"NM","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","25","0","2","","07/01/2013","06/30/2015"
"NV","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","21","0","0","","07/01/2013","06/30/2015"
"NY","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","144","0","5","","07/01/2013","06/30/2015"
"OH","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","121","0","4","","07/01/2013","06/30/2015"
"OK","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","54","0","28","","07/01/2013","06/30/2015"
"OR","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","33","0","1","","07/01/2013","06/30/2015"
"PA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","134","0","13","","07/01/2013","06/30/2015"
"PR","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","11","0","0","","07/01/2013","06/30/2015"
"SC","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","51","0","4","","07/01/2013","06/30/2015"
"SD","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","16","0","2","","07/01/2013","06/30/2015"
"TN","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","76","0","11","","07/01/2013","06/30/2015"
"TX","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","240","0","50","","07/01/2013","06/30/2015"
"UT","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","26","0","5","","07/01/2013","06/30/2015"
"VA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","70","0","1","","07/01/2013","06/30/2015"
"VI","Broken hip from a fall after surgery","PSI_8_POST_HIP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","6","0","0","","07/01/2013","06/30/2015"
"WA","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","47","0","1","","07/01/2013","06/30/2015"
"WI","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","62","0","3","","07/01/2013","06/30/2015"
"WV","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","27","0","2","","07/01/2013","06/30/2015"
"WY","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","10","0","1","","07/01/2013","06/30/2015"
"AK","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","6","0","1","","07/01/2013","06/30/2015"
"AL","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","39","1","11","","07/01/2013","06/30/2015"
"AR","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","25","0","11","","07/01/2013","06/30/2015"
"AS","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","43","0","8","","07/01/2013","06/30/2015"
"CA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","4","198","0","71","","07/01/2013","06/30/2015"
"CO","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","41","0","4","","07/01/2013","06/30/2015"
"CT","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","23","0","3","","07/01/2013","06/30/2015"
"DC","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","6","0","1","","07/01/2013","06/30/2015"
"DE","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","6","0","0","","07/01/2013","06/30/2015"
"FL","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","140","2","19","","07/01/2013","06/30/2015"
"GA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","60","0","18","","07/01/2013","06/30/2015"
"GU","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","8","0","3","","07/01/2013","06/30/2015"
"IA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","32","0","1","","07/01/2013","06/30/2015"
"ID","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","11","0","0","","07/01/2013","06/30/2015"
"IL","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","102","0","15","","07/01/2013","06/30/2015"
"IN","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","67","0","15","","07/01/2013","06/30/2015"
"KS","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","30","0","15","","07/01/2013","06/30/2015"
"KY","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","42","0","12","","07/01/2013","06/30/2015"
"LA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","52","1","16","","07/01/2013","06/30/2015"
"MA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","48","0","10","","07/01/2013","06/30/2015"
"MD","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","14","0","6","","07/01/2013","06/30/2015"
"MI","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","70","1","20","","07/01/2013","06/30/2015"
"MN","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","38","0","11","","07/01/2013","06/30/2015"
"MO","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","56","0","6","","07/01/2013","06/30/2015"
"MP","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","32","0","8","","07/01/2013","06/30/2015"
"MT","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","10","0","2","","07/01/2013","06/30/2015"
"NC","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","61","4","9","","07/01/2013","06/30/2015"
"ND","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","6","0","0","","07/01/2013","06/30/2015"
"NE","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","21","0","2","","07/01/2013","06/30/2015"
"NH","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","13","0","0","","07/01/2013","06/30/2015"
"NJ","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","56","0","7","","07/01/2013","06/30/2015"
"NM","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","15","0","8","","07/01/2013","06/30/2015"
"NV","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","17","0","3","","07/01/2013","06/30/2015"
"NY","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","102","0","40","","07/01/2013","06/30/2015"
"OH","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","102","1","19","","07/01/2013","06/30/2015"
"OK","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","41","0","17","","07/01/2013","06/30/2015"
"OR","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","27","0","5","","07/01/2013","06/30/2015"
"PA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","103","1","34","","07/01/2013","06/30/2015"
"PR","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","10","0","1","","07/01/2013","06/30/2015"
"SC","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","40","0","11","","07/01/2013","06/30/2015"
"SD","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","14","0","4","","07/01/2013","06/30/2015"
"TN","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","53","0","19","","07/01/2013","06/30/2015"
"TX","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","199","1","54","","07/01/2013","06/30/2015"
"UT","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","25","0","4","","07/01/2013","06/30/2015"
"VA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","53","0","16","","07/01/2013","06/30/2015"
"VI","Blood stream infection after surgery","PSI_13_POST_SEPSIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","5","0","1","","07/01/2013","06/30/2015"
"WA","Blood stream infection after surgery","PSI_13_POST_SEPSIS","2","42","0","4","","07/01/2013","06/30/2015"
"WI","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","54","0","11","","07/01/2013","06/30/2015"
"WV","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","20","0","5","","07/01/2013","06/30/2015"
"WY","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","9","0","2","","07/01/2013","06/30/2015"
