Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","330141","NY","READM-30-PN-HRRP","912"," ","1.1324","21.9504","19.3834","207","01-JUL-12","30-JUN-15"
"IRA DAVENPORT MEMORIAL HOSPITAL, INC","330144","NY","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"IRA DAVENPORT MEMORIAL HOSPITAL, INC","330144","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"IRA DAVENPORT MEMORIAL HOSPITAL, INC","330144","NY","READM-30-COPD-HRRP","61"," ","1.0187","19.2970","18.9421","13","01-JUL-12","30-JUN-15"
"IRA DAVENPORT MEMORIAL HOSPITAL, INC","330144","NY","READM-30-HF-HRRP","43"," ","1.0409","20.0378","19.2502","11","01-JUL-12","30-JUN-15"
"IRA DAVENPORT MEMORIAL HOSPITAL, INC","330144","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"IRA DAVENPORT MEMORIAL HOSPITAL, INC","330144","NY","READM-30-PN-HRRP","104"," ","1.0190","15.4378","15.1497","17","01-JUL-12","30-JUN-15"
"ST JAMES MERCY HOSPITAL","330151","NY","READM-30-AMI-HRRP","Not Available"," ","0.9643","20.8060","21.5759","Too Few to Report","01-JUL-12","30-JUN-15"
"ST JAMES MERCY HOSPITAL","330151","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ST JAMES MERCY HOSPITAL","330151","NY","READM-30-COPD-HRRP","Not Available"," ","0.9505","17.9582","18.8938","Too Few to Report","01-JUL-12","30-JUN-15"
"ST JAMES MERCY HOSPITAL","330151","NY","READM-30-HF-HRRP","Not Available"," ","0.9852","20.5846","20.8933","Too Few to Report","01-JUL-12","30-JUN-15"
"ST JAMES MERCY HOSPITAL","330151","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ST JAMES MERCY HOSPITAL","330151","NY","READM-30-PN-HRRP","141"," ","0.9247","16.3382","17.6686","19","01-JUL-12","30-JUN-15"
"ELLIS HOSPITAL","330153","NY","READM-30-AMI-HRRP","440"," ","0.8453","13.5452","16.0244","50","01-JUL-12","30-JUN-15"
"ELLIS HOSPITAL","330153","NY","READM-30-CABG-HRRP","114"," ","0.9066","12.6433","13.9456","11","01-JUL-12","30-JUN-15"
"ELLIS HOSPITAL","330153","NY","READM-30-COPD-HRRP","470"," ","0.9687","19.3890","20.0152","89","01-JUL-12","30-JUN-15"
"ELLIS HOSPITAL","330153","NY","READM-30-HF-HRRP","657"," ","0.9392","18.9904","20.2197","121","01-JUL-12","30-JUN-15"
"ELLIS HOSPITAL","330153","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.8228","3.8917","4.7298","Too Few to Report","01-JUL-12","30-JUN-15"
"ELLIS HOSPITAL","330153","NY","READM-30-PN-HRRP","667"," ","0.9564","15.1801","15.8723","99","01-JUL-12","30-JUN-15"
"SAMARITAN MEDICAL CENTER","330157","NY","READM-30-AMI-HRRP","Not Available"," ","0.9567","19.6738","20.5634","Too Few to Report","01-JUL-12","30-JUN-15"
"SAMARITAN MEDICAL CENTER","330157","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"SAMARITAN MEDICAL CENTER","330157","NY","READM-30-COPD-HRRP","288"," ","1.0612","20.1581","18.9960","62","01-JUL-12","30-JUN-15"
"SAMARITAN MEDICAL CENTER","330157","NY","READM-30-HF-HRRP","369"," ","0.9596","20.7378","21.6118","74","01-JUL-12","30-JUN-15"
"SAMARITAN MEDICAL CENTER","330157","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.8765","4.2525","4.8516","Too Few to Report","01-JUL-12","30-JUN-15"
"SAMARITAN MEDICAL CENTER","330157","NY","READM-30-PN-HRRP","431"," ","0.9735","16.3286","16.7729","69","01-JUL-12","30-JUN-15"
"GOOD SAMARITAN HOSPITAL OF SUFFERN","330158","NY","READM-30-AMI-HRRP","513"," ","1.0654","17.9769","16.8736","96","01-JUL-12","30-JUN-15"
"GOOD SAMARITAN HOSPITAL OF SUFFERN","330158","NY","READM-30-CABG-HRRP","96"," ","0.9973","13.6387","13.6754","13","01-JUL-12","30-JUN-15"
"GOOD SAMARITAN HOSPITAL OF SUFFERN","330158","NY","READM-30-COPD-HRRP","432"," ","1.0384","20.2483","19.4995","90","01-JUL-12","30-JUN-15"
"GOOD SAMARITAN HOSPITAL OF SUFFERN","330158","NY","READM-30-HF-HRRP","567"," ","1.1340","25.2199","22.2393","151","01-JUL-12","30-JUN-15"
"GOOD SAMARITAN HOSPITAL OF SUFFERN","330158","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9098","5.6291","6.1869","Too Few to Report","01-JUL-12","30-JUN-15"
"GOOD SAMARITAN HOSPITAL OF SUFFERN","330158","NY","READM-30-PN-HRRP","812"," ","1.0860","20.0212","18.4361","167","01-JUL-12","30-JUN-15"
"STATEN ISLAND UNIVERSITY HOSPITAL","330160","NY","READM-30-AMI-HRRP","376"," ","1.0189","17.2577","16.9370","66","01-JUL-12","30-JUN-15"
"STATEN ISLAND UNIVERSITY HOSPITAL","330160","NY","READM-30-CABG-HRRP","119"," ","0.9776","14.9692","15.3127","17","01-JUL-12","30-JUN-15"
"STATEN ISLAND UNIVERSITY HOSPITAL","330160","NY","READM-30-COPD-HRRP","732"," ","1.1764","24.2764","20.6369","189","01-JUL-12","30-JUN-15"
"STATEN ISLAND UNIVERSITY HOSPITAL","330160","NY","READM-30-HF-HRRP","765"," ","0.9979","21.4546","21.4992","164","01-JUL-12","30-JUN-15"
"STATEN ISLAND UNIVERSITY HOSPITAL","330160","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9675","4.7835","4.9441","Too Few to Report","01-JUL-12","30-JUN-15"
"STATEN ISLAND UNIVERSITY HOSPITAL","330160","NY","READM-30-PN-HRRP","924"," ","1.0453","19.0086","18.1848","178","01-JUL-12","30-JUN-15"
"NORTHERN WESTCHESTER HOSPITAL","330162","NY","READM-30-AMI-HRRP","55"," ","1.0008","19.9088","19.8925","11","01-JUL-12","30-JUN-15"
"NORTHERN WESTCHESTER HOSPITAL","330162","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"NORTHERN WESTCHESTER HOSPITAL","330162","NY","READM-30-COPD-HRRP","190"," ","1.0017","17.3119","17.2831","33","01-JUL-12","30-JUN-15"
"NORTHERN WESTCHESTER HOSPITAL","330162","NY","READM-30-HF-HRRP","378"," ","1.0635","21.4921","20.2084","85","01-JUL-12","30-JUN-15"
"NORTHERN WESTCHESTER HOSPITAL","330162","NY","READM-30-HIP-KNEE-HRRP","308"," ","0.9085","4.5028","4.9562","12","01-JUL-12","30-JUN-15"
"NORTHERN WESTCHESTER HOSPITAL","330162","NY","READM-30-PN-HRRP","423"," ","1.0911","17.3782","15.9273","78","01-JUL-12","30-JUN-15"
"EASTERN NIAGARA HOSPITAL","330163","NY","READM-30-AMI-HRRP","73"," ","1.0152","20.6486","20.3390","16","01-JUL-12","30-JUN-15"
"EASTERN NIAGARA HOSPITAL","330163","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"EASTERN NIAGARA HOSPITAL","330163","NY","READM-30-COPD-HRRP","452"," ","0.9639","18.6839","19.3846","82","01-JUL-12","30-JUN-15"
"EASTERN NIAGARA HOSPITAL","330163","NY","READM-30-HF-HRRP","250"," ","1.1087","23.4383","21.1394","65","01-JUL-12","30-JUN-15"
"EASTERN NIAGARA HOSPITAL","330163","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"EASTERN NIAGARA HOSPITAL","330163","NY","READM-30-PN-HRRP","231"," ","1.1794","21.3058","18.0646","58","01-JUL-12","30-JUN-15"
"HIGHLAND HOSPITAL","330164","NY","READM-30-AMI-HRRP","Not Available"," ","0.9949","18.7343","18.8300","Too Few to Report","01-JUL-12","30-JUN-15"
"HIGHLAND HOSPITAL","330164","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HIGHLAND HOSPITAL","330164","NY","READM-30-COPD-HRRP","164"," ","0.9898","21.1570","21.3746","34","01-JUL-12","30-JUN-15"
"HIGHLAND HOSPITAL","330164","NY","READM-30-HF-HRRP","390"," ","0.9521","19.9904","20.9954","75","01-JUL-12","30-JUN-15"
"HIGHLAND HOSPITAL","330164","NY","READM-30-HIP-KNEE-HRRP","439"," ","0.9622","4.2702","4.4382","18","01-JUL-12","30-JUN-15"
"HIGHLAND HOSPITAL","330164","NY","READM-30-PN-HRRP","523"," ","0.9691","15.9836","16.4927","82","01-JUL-12","30-JUN-15"
"WESTFIELD MEMORIAL HOSPITAL, INC","330166","NY","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WESTFIELD MEMORIAL HOSPITAL, INC","330166","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WESTFIELD MEMORIAL HOSPITAL, INC","330166","NY","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WESTFIELD MEMORIAL HOSPITAL, INC","330166","NY","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WESTFIELD MEMORIAL HOSPITAL, INC","330166","NY","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WESTFIELD MEMORIAL HOSPITAL, INC","330166","NY","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WINTHROP-UNIVERSITY HOSPITAL","330167","NY","READM-30-AMI-HRRP","526"," ","1.0928","19.1307","17.5053","106","01-JUL-12","30-JUN-15"
"WINTHROP-UNIVERSITY HOSPITAL","330167","NY","READM-30-CABG-HRRP","195"," ","0.9960","13.9173","13.9725","27","01-JUL-12","30-JUN-15"
"WINTHROP-UNIVERSITY HOSPITAL","330167","NY","READM-30-COPD-HRRP","518"," ","1.0252","20.7176","20.2086","109","01-JUL-12","30-JUN-15"
"WINTHROP-UNIVERSITY HOSPITAL","330167","NY","READM-30-HF-HRRP","1125"," ","1.0457","22.6860","21.6938","258","01-JUL-12","30-JUN-15"
"WINTHROP-UNIVERSITY HOSPITAL","330167","NY","READM-30-HIP-KNEE-HRRP","526"," ","1.0307","5.0204","4.8707","27","01-JUL-12","30-JUN-15"
"WINTHROP-UNIVERSITY HOSPITAL","330167","NY","READM-30-PN-HRRP","940"," ","1.0259","17.6239","17.1795","167","01-JUL-12","30-JUN-15"
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS","330169","NY","READM-30-AMI-HRRP","535"," ","1.1118","20.1050","18.0833","114","01-JUL-12","30-JUN-15"
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS","330169","NY","READM-30-CABG-HRRP","88"," ","1.0174","15.2085","14.9478","14","01-JUL-12","30-JUN-15"
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS","330169","NY","READM-30-COPD-HRRP","842"," ","1.1703","23.5375","20.1120","209","01-JUL-12","30-JUN-15"
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS","330169","NY","READM-30-HF-HRRP","1009"," ","1.2474","26.8484","21.5234","285","01-JUL-12","30-JUN-15"
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS","330169","NY","READM-30-HIP-KNEE-HRRP","498"," ","0.9163","4.7603","5.1949","22","01-JUL-12","30-JUN-15"
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS","330169","NY","READM-30-PN-HRRP","1530"," ","1.1588","19.4275","16.7653","305","01-JUL-12","30-JUN-15"
"CORTLAND REGIONAL MEDICAL CENTER, INC","330175","NY","READM-30-AMI-HRRP","Not Available"," ","0.9556","22.6488","23.7005","Too Few to Report","01-JUL-12","30-JUN-15"
"CORTLAND REGIONAL MEDICAL CENTER, INC","330175","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CORTLAND REGIONAL MEDICAL CENTER, INC","330175","NY","READM-30-COPD-HRRP","260"," ","1.0598","21.5582","20.3412","60","01-JUL-12","30-JUN-15"
"CORTLAND REGIONAL MEDICAL CENTER, INC","330175","NY","READM-30-HF-HRRP","288"," ","1.1670","27.0867","23.2102","88","01-JUL-12","30-JUN-15"
"CORTLAND REGIONAL MEDICAL CENTER, INC","330175","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CORTLAND REGIONAL MEDICAL CENTER, INC","330175","NY","READM-30-PN-HRRP","491"," ","1.1390","20.3897","17.9008","107","01-JUL-12","30-JUN-15"
"SAMARITAN HOSPITAL","330180","NY","READM-30-AMI-HRRP","134"," ","0.9055","15.5386","17.1604","15","01-JUL-12","30-JUN-15"
"SAMARITAN HOSPITAL","330180","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"SAMARITAN HOSPITAL","330180","NY","READM-30-COPD-HRRP","213"," ","1.0795","22.8577","21.1742","54","01-JUL-12","30-JUN-15"
"SAMARITAN HOSPITAL","330180","NY","READM-30-HF-HRRP","249"," ","1.0059","22.7435","22.6103","57","01-JUL-12","30-JUN-15"
"SAMARITAN HOSPITAL","330180","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.1572","6.4261","5.5532","Too Few to Report","01-JUL-12","30-JUN-15"
"SAMARITAN HOSPITAL","330180","NY","READM-30-PN-HRRP","310"," ","0.9182","15.6039","16.9940","44","01-JUL-12","30-JUN-15"
"GLEN COVE HOSPITAL","330181","NY","READM-30-AMI-HRRP","73"," ","1.1048","25.4078","22.9977","25","01-JUL-12","30-JUN-15"
"GLEN COVE HOSPITAL","330181","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GLEN COVE HOSPITAL","330181","NY","READM-30-COPD-HRRP","227"," ","1.0024","19.7536","19.7064","45","01-JUL-12","30-JUN-15"
"GLEN COVE HOSPITAL","330181","NY","READM-30-HF-HRRP","338"," ","1.0402","22.3559","21.4914","78","01-JUL-12","30-JUN-15"
"GLEN COVE HOSPITAL","330181","NY","READM-30-HIP-KNEE-HRRP","460"," ","0.9716","4.9057","5.0493","22","01-JUL-12","30-JUN-15"
"GLEN COVE HOSPITAL","330181","NY","READM-30-PN-HRRP","495"," ","1.1209","18.0043","16.0627","95","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL, ROSLYN","330182","NY","READM-30-AMI-HRRP","1049"," ","1.0243","18.8318","18.3849","199","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL, ROSLYN","330182","NY","READM-30-CABG-HRRP","566"," ","0.9971","14.8594","14.9029","84","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL, ROSLYN","330182","NY","READM-30-COPD-HRRP","423"," ","1.0371","22.3383","21.5396","97","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL, ROSLYN","330182","NY","READM-30-HF-HRRP","1782"," ","0.9704","21.9339","22.6028","389","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL, ROSLYN","330182","NY","READM-30-HIP-KNEE-HRRP","687"," ","0.7595","4.2787","5.6335","24","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL, ROSLYN","330182","NY","READM-30-PN-HRRP","837"," ","0.8990","16.1898","18.0079","130","01-JUL-12","30-JUN-15"
"MONTEFIORE NEW ROCHELLE HOSPITAL","330184","NY","READM-30-AMI-HRRP","87"," ","1.0513","20.6186","19.6117","21","01-JUL-12","30-JUN-15"
"MONTEFIORE NEW ROCHELLE HOSPITAL","330184","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MONTEFIORE NEW ROCHELLE HOSPITAL","330184","NY","READM-30-COPD-HRRP","215"," ","1.0065","19.7985","19.6705","43","01-JUL-12","30-JUN-15"
"MONTEFIORE NEW ROCHELLE HOSPITAL","330184","NY","READM-30-HF-HRRP","382"," ","1.0790","22.8561","21.1828","92","01-JUL-12","30-JUN-15"
"MONTEFIORE NEW ROCHELLE HOSPITAL","330184","NY","READM-30-HIP-KNEE-HRRP","288"," ","1.2181","6.9654","5.7184","24","01-JUL-12","30-JUN-15"
"MONTEFIORE NEW ROCHELLE HOSPITAL","330184","NY","READM-30-PN-HRRP","443"," ","1.2507","22.3213","17.8467","111","01-JUL-12","30-JUN-15"
"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","330185","NY","READM-30-AMI-HRRP","136"," ","0.9947","22.3056","22.4240","30","01-JUL-12","30-JUN-15"
"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","330185","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","330185","NY","READM-30-COPD-HRRP","638"," ","1.0970","21.8983","19.9628","146","01-JUL-12","30-JUN-15"
"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","330185","NY","READM-30-HF-HRRP","724"," ","1.1122","25.5788","22.9977","192","01-JUL-12","30-JUN-15"
"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","330185","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9960","5.2467","5.2680","Too Few to Report","01-JUL-12","30-JUN-15"
"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","330185","NY","READM-30-PN-HRRP","925"," ","1.0501","18.7486","17.8547","176","01-JUL-12","30-JUN-15"
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","330188","NY","READM-30-AMI-HRRP","Not Available"," ","0.9231","18.9816","20.5625","Too Few to Report","01-JUL-12","30-JUN-15"
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","330188","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","330188","NY","READM-30-COPD-HRRP","143"," ","0.8524","16.2972","19.1201","13","01-JUL-12","30-JUN-15"
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","330188","NY","READM-30-HF-HRRP","214"," ","0.9701","21.9077","22.5819","45","01-JUL-12","30-JUN-15"
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","330188","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0310","5.9120","5.7340","Too Few to Report","01-JUL-12","30-JUN-15"
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","330188","NY","READM-30-PN-HRRP","197"," ","0.9755","15.8654","16.2639","30","01-JUL-12","30-JUN-15"
"GLENS FALLS HOSPITAL","330191","NY","READM-30-AMI-HRRP","175"," ","0.8997","15.5629","17.2974","21","01-JUL-12","30-JUN-15"
"GLENS FALLS HOSPITAL","330191","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GLENS FALLS HOSPITAL","330191","NY","READM-30-COPD-HRRP","503"," ","0.9320","21.0377","22.5715","101","01-JUL-12","30-JUN-15"
"GLENS FALLS HOSPITAL","330191","NY","READM-30-HF-HRRP","485"," ","0.9637","22.1246","22.9581","105","01-JUL-12","30-JUN-15"
"GLENS FALLS HOSPITAL","330191","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.8962","4.1197","4.5970","Too Few to Report","01-JUL-12","30-JUN-15"
"GLENS FALLS HOSPITAL","330191","NY","READM-30-PN-HRRP","779"," ","0.9310","16.6487","17.8817","126","01-JUL-12","30-JUN-15"
"FLUSHING HOSPITAL MEDICAL CENTER","330193","NY","READM-30-AMI-HRRP","48"," ","1.0595","21.6589","20.4424","14","01-JUL-12","30-JUN-15"
"FLUSHING HOSPITAL MEDICAL CENTER","330193","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"FLUSHING HOSPITAL MEDICAL CENTER","330193","NY","READM-30-COPD-HRRP","204"," ","0.9974","20.6745","20.7279","42","01-JUL-12","30-JUN-15"
"FLUSHING HOSPITAL MEDICAL CENTER","330193","NY","READM-30-HF-HRRP","223"," ","1.0665","23.7418","22.2613","57","01-JUL-12","30-JUN-15"
"FLUSHING HOSPITAL MEDICAL CENTER","330193","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0029","6.2542","6.2359","Too Few to Report","01-JUL-12","30-JUN-15"
"FLUSHING HOSPITAL MEDICAL CENTER","330193","NY","READM-30-PN-HRRP","614"," ","1.1922","23.4863","19.7002","154","01-JUL-12","30-JUN-15"
"MAIMONIDES MEDICAL CENTER","330194","NY","READM-30-AMI-HRRP","915"," ","0.9529","18.1336","19.0305","163","01-JUL-12","30-JUN-15"
"MAIMONIDES MEDICAL CENTER","330194","NY","READM-30-CABG-HRRP","157"," ","1.0235","16.6587","16.2757","27","01-JUL-12","30-JUN-15"
"MAIMONIDES MEDICAL CENTER","330194","NY","READM-30-COPD-HRRP","602"," ","1.0226","21.1744","20.7056","129","01-JUL-12","30-JUN-15"
"MAIMONIDES MEDICAL CENTER","330194","NY","READM-30-HF-HRRP","1580"," ","1.1537","25.8142","22.3744","417","01-JUL-12","30-JUN-15"
"MAIMONIDES MEDICAL CENTER","330194","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.8892","5.4747","6.1572","Too Few to Report","01-JUL-12","30-JUN-15"
"MAIMONIDES MEDICAL CENTER","330194","NY","READM-30-PN-HRRP","1345"," ","1.0923","20.2412","18.5311","277","01-JUL-12","30-JUN-15"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-AMI-HRRP","342"," ","1.1300","19.4972","17.2543","74","01-JUL-12","30-JUN-15"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-CABG-HRRP","95"," ","1.0164","15.1774","14.9320","15","01-JUL-12","30-JUN-15"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-COPD-HRRP","339"," ","1.0532","21.0920","20.0271","75","01-JUL-12","30-JUN-15"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-HF-HRRP","1078"," ","1.1157","23.9471","21.4638","265","01-JUL-12","30-JUN-15"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-HIP-KNEE-HRRP","289"," ","1.2023","6.6806","5.5567","23","01-JUL-12","30-JUN-15"
"LONG ISLAND JEWISH MEDICAL CENTER","330195","NY","READM-30-PN-HRRP","805"," ","1.1408","19.3879","16.9948","163","01-JUL-12","30-JUN-15"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-AMI-HRRP","58"," ","1.1260","21.9033","19.4529","20","01-JUL-12","30-JUN-15"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-COPD-HRRP","238"," ","1.0440","22.6961","21.7396","57","01-JUL-12","30-JUN-15"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-HF-HRRP","470"," ","1.1533","25.7370","22.3164","130","01-JUL-12","30-JUN-15"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONEY ISLAND HOSPITAL","330196","NY","READM-30-PN-HRRP","458"," ","1.1582","20.3531","17.5729","101","01-JUL-12","30-JUN-15"
"CANTON-POTSDAM HOSPITAL","330197","NY","READM-30-AMI-HRRP","Not Available"," ","0.9810","18.8656","19.2319","Too Few to Report","01-JUL-12","30-JUN-15"
"CANTON-POTSDAM HOSPITAL","330197","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CANTON-POTSDAM HOSPITAL","330197","NY","READM-30-COPD-HRRP","209"," ","0.9199","17.9271","19.4890","32","01-JUL-12","30-JUN-15"
"CANTON-POTSDAM HOSPITAL","330197","NY","READM-30-HF-HRRP","239"," ","1.0083","21.9635","21.7832","53","01-JUL-12","30-JUN-15"
"CANTON-POTSDAM HOSPITAL","330197","NY","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.1472","6.1258","5.3396","Too Few to Report","01-JUL-12","30-JUN-15"
"CANTON-POTSDAM HOSPITAL","330197","NY","READM-30-PN-HRRP","328"," ","1.0299","17.5269","17.0185","59","01-JUL-12","30-JUN-15"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-AMI-HRRP","307"," ","1.0185","17.2349","16.9226","54","01-JUL-12","30-JUN-15"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-COPD-HRRP","912"," ","1.0506","21.1268","20.1098","196","01-JUL-12","30-JUN-15"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-HF-HRRP","934"," ","1.0643","23.2450","21.8401","221","01-JUL-12","30-JUN-15"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-HIP-KNEE-HRRP","436"," ","1.0065","5.4753","5.4400","24","01-JUL-12","30-JUN-15"
"SOUTH NASSAU COMMUNITIES HOSPITAL","330198","NY","READM-30-PN-HRRP","1118"," ","1.0636","18.4054","17.3049","209","01-JUL-12","30-JUN-15"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-COPD-HRRP","72"," ","1.0497","26.9268","25.6512","23","01-JUL-12","30-JUN-15"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-HF-HRRP","50"," ","1.0249","24.8381","24.2350","14","01-JUL-12","30-JUN-15"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-PN-HRRP","51"," ","1.0591","17.6767","16.6898","12","01-JUL-12","30-JUN-15"
